IoTDeviceID,timestamp,Location,Type,Value,Unit
Humd1,2024-05-01 08:00:00,Silo1,humidity,22.0,percentage
InTemp1,2024-05-01 08:00:00,Silo1,intemperature,11.4,celsius
Temp1,2024-05-01 14:00:00,Silo1,temperature,15.9,celsius
Humd1,2024-05-01 14:00:00,Silo1,humidity,31.3,percentage
InTemp1,2024-05-01 14:00:00,Silo1,intemperature,14.0,celsius
GrainTemp1,2024-05-01 08:00:00,Silo1,graintemperature,14.6,celsius
GrainTemp2,2024-05-01 08:00:00,Silo1,graintemperature,7.3,celsius
GrainTemp3,2024-05-01 08:00:00,Silo1,graintemperature,10.3,celsius
GrainTemp1,2024-05-01 09:00:00,Silo1,graintemperature,14.9,celsius
GrainTemp2,2024-05-01 09:00:00,Silo1,graintemperature,4.7,celsius
GrainTemp3,2024-05-01 09:00:00,Silo1,graintemperature,8.0,celsius
GrainTemp1,2024-05-01 10:00:00,Silo1,graintemperature,5.7,celsius
GrainTemp2,2024-05-01 10:00:00,Silo1,graintemperature,14.6,celsius
GrainTemp3,2024-05-01 10:00:00,Silo1,graintemperature,11.7,celsius
GrainTemp1,2024-05-01 11:00:00,Silo1,graintemperature,4.2,celsius
GrainTemp2,2024-05-01 11:00:00,Silo1,graintemperature,10.8,celsius
GrainTemp3,2024-05-01 11:00:00,Silo1,graintemperature,7.1,celsius
GrainTemp1,2024-05-01 12:00:00,Silo1,graintemperature,10.9,celsius
GrainTemp2,2024-05-01 12:00:00,Silo1,graintemperature,9.2,celsius
GrainTemp3,2024-05-01 12:00:00,Silo1,graintemperature,7.2,celsius
GrainTemp1,2024-05-01 13:00:00,Silo1,graintemperature,11.6,celsius
GrainTemp2,2024-05-01 13:00:00,Silo1,graintemperature,12.2,celsius
GrainTemp3,2024-05-01 13:00:00,Silo1,graintemperature,7.5,celsius
GrainTemp1,2024-05-01 14:00:00,Silo1,graintemperature,1.8,celsius
GrainTemp2,2024-05-01 14:00:00,Silo1,graintemperature,3.1,celsius
GrainTemp3,2024-05-01 14:00:00,Silo1,graintemperature,1.2,celsius
GrainTemp1,2024-05-01 15:00:00,Silo1,graintemperature,11.2,celsius
GrainTemp2,2024-05-01 15:00:00,Silo1,graintemperature,8.6,celsius
GrainTemp3,2024-05-01 15:00:00,Silo1,graintemperature,3.2,celsius
GrainTemp1,2024-05-01 16:00:00,Silo1,graintemperature,10.7,celsius
GrainTemp2,2024-05-01 16:00:00,Silo1,graintemperature,10.3,celsius
GrainTemp3,2024-05-01 16:00:00,Silo1,graintemperature,12.0,celsius
GrainTemp1,2024-05-01 17:00:00,Silo1,graintemperature,12.4,celsius
GrainTemp2,2024-05-01 17:00:00,Silo1,graintemperature,7.7,celsius
GrainTemp3,2024-05-01 17:00:00,Silo1,graintemperature,7.1,celsius
Temp1,2024-05-02 08:00:00,Silo1,temperature,11.9,celsius
Humd1,2024-05-02 08:00:00,Silo1,humidity,20.6,percentage
InTemp1,2024-05-02 08:00:00,Silo1,intemperature,17.8,celsius
Temp1,2024-05-02 14:00:00,Silo1,temperature,23.5,celsius
Humd1,2024-05-02 14:00:00,Silo1,humidity,21.7,percentage
InTemp1,2024-05-02 14:00:00,Silo1,intemperature,6.4,celsius
GrainTemp1,2024-05-02 08:00:00,Silo1,graintemperature,5.0,celsius
GrainTemp2,2024-05-02 08:00:00,Silo1,graintemperature,10.0,celsius
GrainTemp3,2024-05-02 08:00:00,Silo1,graintemperature,7.9,celsius
GrainTemp1,2024-05-02 09:00:00,Silo1,graintemperature,11.5,celsius
GrainTemp2,2024-05-02 09:00:00,Silo1,graintemperature,12.3,celsius
GrainTemp3,2024-05-02 09:00:00,Silo1,graintemperature,9.6,celsius
GrainTemp1,2024-05-02 10:00:00,Silo1,graintemperature,7.5,celsius
GrainTemp2,2024-05-02 10:00:00,Silo1,graintemperature,1.4,celsius
GrainTemp3,2024-05-02 10:00:00,Silo1,graintemperature,4.7,celsius
GrainTemp1,2024-05-02 11:00:00,Silo1,graintemperature,3.4,celsius
GrainTemp2,2024-05-02 11:00:00,Silo1,graintemperature,8.7,celsius
GrainTemp3,2024-05-02 11:00:00,Silo1,graintemperature,11.7,celsius
GrainTemp1,2024-05-02 12:00:00,Silo1,graintemperature,10.8,celsius
GrainTemp2,2024-05-02 12:00:00,Silo1,graintemperature,3.6,celsius
GrainTemp3,2024-05-02 12:00:00,Silo1,graintemperature,11.3,celsius
GrainTemp1,2024-05-02 13:00:00,Silo1,graintemperature,5.5,celsius
GrainTemp2,2024-05-02 13:00:00,Silo1,graintemperature,9.0,celsius
GrainTemp3,2024-05-02 13:00:00,Silo1,graintemperature,13.6,celsius
GrainTemp1,2024-05-02 14:00:00,Silo1,graintemperature,5.6,celsius
GrainTemp2,2024-05-02 14:00:00,Silo1,graintemperature,13.1,celsius
GrainTemp3,2024-05-02 14:00:00,Silo1,graintemperature,14.1,celsius
GrainTemp1,2024-05-02 15:00:00,Silo1,graintemperature,12.1,celsius
GrainTemp2,2024-05-02 15:00:00,Silo1,graintemperature,7.2,celsius
GrainTemp3,2024-05-02 15:00:00,Silo1,graintemperature,11.3,celsius
GrainTemp1,2024-05-02 16:00:00,Silo1,graintemperature,12.7,celsius
GrainTemp2,2024-05-02 16:00:00,Silo1,graintemperature,4.7,celsius
GrainTemp3,2024-05-02 16:00:00,Silo1,graintemperature,8.4,celsius
GrainTemp1,2024-05-02 17:00:00,Silo1,graintemperature,10.3,celsius
GrainTemp2,2024-05-02 17:00:00,Silo1,graintemperature,10.4,celsius
GrainTemp3,2024-05-02 17:00:00,Silo1,graintemperature,4.1,celsius
Temp1,2024-05-03 08:00:00,Silo1,temperature,14.3,celsius
Humd1,2024-05-03 08:00:00,Silo1,humidity,24.2,percentage
InTemp1,2024-05-03 08:00:00,Silo1,intemperature,6.5,celsius
Temp1,2024-05-03 14:00:00,Silo1,temperature,17.2,celsius
Humd1,2024-05-03 14:00:00,Silo1,humidity,27.2,percentage
InTemp1,2024-05-03 14:00:00,Silo1,intemperature,22.5,celsius
GrainTemp1,2024-05-03 08:00:00,Silo1,graintemperature,7.7,celsius
GrainTemp2,2024-05-03 08:00:00,Silo1,graintemperature,3.5,celsius
GrainTemp3,2024-05-03 08:00:00,Silo1,graintemperature,13.5,celsius
GrainTemp1,2024-05-03 09:00:00,Silo1,graintemperature,3.0,celsius
GrainTemp2,2024-05-03 09:00:00,Silo1,graintemperature,2.5,celsius
GrainTemp3,2024-05-03 09:00:00,Silo1,graintemperature,10.4,celsius
GrainTemp1,2024-05-03 10:00:00,Silo1,graintemperature,4.8,celsius
GrainTemp2,2024-05-03 10:00:00,Silo1,graintemperature,10.1,celsius
GrainTemp3,2024-05-03 10:00:00,Silo1,graintemperature,9.8,celsius
GrainTemp1,2024-05-03 11:00:00,Silo1,graintemperature,2.0,celsius
GrainTemp2,2024-05-03 11:00:00,Silo1,graintemperature,14.7,celsius
GrainTemp3,2024-05-03 11:00:00,Silo1,graintemperature,9.6,celsius
GrainTemp1,2024-05-03 12:00:00,Silo1,graintemperature,5.7,celsius
GrainTemp2,2024-05-03 12:00:00,Silo1,graintemperature,5.8,celsius
GrainTemp3,2024-05-03 12:00:00,Silo1,graintemperature,9.0,celsius
GrainTemp1,2024-05-03 13:00:00,Silo1,graintemperature,3.8,celsius
GrainTemp2,2024-05-03 13:00:00,Silo1,graintemperature,5.6,celsius
GrainTemp3,2024-05-03 13:00:00,Silo1,graintemperature,7.1,celsius
GrainTemp1,2024-05-03 14:00:00,Silo1,graintemperature,6.8,celsius
GrainTemp2,2024-05-03 14:00:00,Silo1,graintemperature,10.8,celsius
GrainTemp3,2024-05-03 14:00:00,Silo1,graintemperature,9.8,celsius
GrainTemp1,2024-05-03 15:00:00,Silo1,graintemperature,11.8,celsius
GrainTemp2,2024-05-03 15:00:00,Silo1,graintemperature,4.5,celsius
GrainTemp3,2024-05-03 15:00:00,Silo1,graintemperature,10.6,celsius
GrainTemp1,2024-05-03 16:00:00,Silo1,graintemperature,4.4,celsius
GrainTemp2,2024-05-03 16:00:00,Silo1,graintemperature,4.3,celsius
GrainTemp3,2024-05-03 16:00:00,Silo1,graintemperature,12.9,celsius
GrainTemp1,2024-05-03 17:00:00,Silo1,graintemperature,8.4,celsius
GrainTemp2,2024-05-03 17:00:00,Silo1,graintemperature,1.2,celsius
GrainTemp3,2024-05-03 17:00:00,Silo1,graintemperature,5.5,celsius
Temp1,2024-05-04 08:00:00,Silo1,temperature,10.2,celsius
Humd1,2024-05-04 08:00:00,Silo1,humidity,30.5,percentage
InTemp1,2024-05-04 08:00:00,Silo1,intemperature,24.3,celsius
Temp1,2024-05-04 14:00:00,Silo1,temperature,23.4,celsius
Humd1,2024-05-04 14:00:00,Silo1,humidity,18.1,percentage
InTemp1,2024-05-04 14:00:00,Silo1,intemperature,16.9,celsius
GrainTemp1,2024-05-04 08:00:00,Silo1,graintemperature,10.3,celsius
GrainTemp2,2024-05-04 08:00:00,Silo1,graintemperature,12.2,celsius
GrainTemp3,2024-05-04 08:00:00,Silo1,graintemperature,1.1,celsius
GrainTemp1,2024-05-04 09:00:00,Silo1,graintemperature,1.4,celsius
GrainTemp2,2024-05-04 09:00:00,Silo1,graintemperature,10.4,celsius
GrainTemp3,2024-05-04 09:00:00,Silo1,graintemperature,1.1,celsius
GrainTemp1,2024-05-04 10:00:00,Silo1,graintemperature,13.5,celsius
GrainTemp2,2024-05-04 10:00:00,Silo1,graintemperature,10.3,celsius
GrainTemp3,2024-05-04 10:00:00,Silo1,graintemperature,7.6,celsius
GrainTemp1,2024-05-04 11:00:00,Silo1,graintemperature,13.7,celsius
GrainTemp2,2024-05-04 11:00:00,Silo1,graintemperature,8.6,celsius
GrainTemp3,2024-05-04 11:00:00,Silo1,graintemperature,10.4,celsius
GrainTemp1,2024-05-04 12:00:00,Silo1,graintemperature,9.0,celsius
GrainTemp2,2024-05-04 12:00:00,Silo1,graintemperature,13.1,celsius
GrainTemp3,2024-05-04 12:00:00,Silo1,graintemperature,8.0,celsius
GrainTemp1,2024-05-04 13:00:00,Silo1,graintemperature,1.3,celsius
GrainTemp2,2024-05-04 13:00:00,Silo1,graintemperature,13.4,celsius
GrainTemp3,2024-05-04 13:00:00,Silo1,graintemperature,4.5,celsius
GrainTemp1,2024-05-04 14:00:00,Silo1,graintemperature,6.3,celsius
GrainTemp2,2024-05-04 14:00:00,Silo1,graintemperature,14.9,celsius
GrainTemp3,2024-05-04 14:00:00,Silo1,graintemperature,1.1,celsius
GrainTemp1,2024-05-04 15:00:00,Silo1,graintemperature,14.3,celsius
GrainTemp2,2024-05-04 15:00:00,Silo1,graintemperature,14.8,celsius
GrainTemp3,2024-05-04 15:00:00,Silo1,graintemperature,10.8,celsius
GrainTemp1,2024-05-04 16:00:00,Silo1,graintemperature,14.8,celsius
GrainTemp2,2024-05-04 16:00:00,Silo1,graintemperature,5.8,celsius
GrainTemp3,2024-05-04 16:00:00,Silo1,graintemperature,12.5,celsius
GrainTemp1,2024-05-04 17:00:00,Silo1,graintemperature,7.4,celsius
GrainTemp2,2024-05-04 17:00:00,Silo1,graintemperature,11.3,celsius
GrainTemp3,2024-05-04 17:00:00,Silo1,graintemperature,15.0,celsius
Temp1,2024-05-05 08:00:00,Silo1,temperature,9.8,celsius
Humd1,2024-05-05 08:00:00,Silo1,humidity,11.3,percentage
InTemp1,2024-05-05 08:00:00,Silo1,intemperature,12.5,celsius
Temp1,2024-05-05 14:00:00,Silo1,temperature,24.2,celsius
Humd1,2024-05-05 14:00:00,Silo1,humidity,11.7,percentage
InTemp1,2024-05-05 14:00:00,Silo1,intemperature,21.3,celsius
GrainTemp1,2024-05-05 08:00:00,Silo1,graintemperature,14.9,celsius
GrainTemp2,2024-05-05 08:00:00,Silo1,graintemperature,5.7,celsius
GrainTemp3,2024-05-05 08:00:00,Silo1,graintemperature,12.4,celsius
GrainTemp1,2024-05-05 09:00:00,Silo1,graintemperature,7.8,celsius
GrainTemp2,2024-05-05 09:00:00,Silo1,graintemperature,7.6,celsius
GrainTemp3,2024-05-05 09:00:00,Silo1,graintemperature,9.9,celsius
GrainTemp1,2024-05-05 10:00:00,Silo1,graintemperature,10.5,celsius
GrainTemp2,2024-05-05 10:00:00,Silo1,graintemperature,10.8,celsius
GrainTemp3,2024-05-05 10:00:00,Silo1,graintemperature,13.4,celsius
GrainTemp1,2024-05-05 11:00:00,Silo1,graintemperature,12.1,celsius
GrainTemp2,2024-05-05 11:00:00,Silo1,graintemperature,5.8,celsius
GrainTemp3,2024-05-05 11:00:00,Silo1,graintemperature,1.1,celsius
GrainTemp1,2024-05-05 12:00:00,Silo1,graintemperature,12.2,celsius
GrainTemp2,2024-05-05 12:00:00,Silo1,graintemperature,11.7,celsius
GrainTemp3,2024-05-05 12:00:00,Silo1,graintemperature,8.8,celsius
GrainTemp1,2024-05-05 13:00:00,Silo1,graintemperature,13.6,celsius
GrainTemp2,2024-05-05 13:00:00,Silo1,graintemperature,10.6,celsius
GrainTemp3,2024-05-05 13:00:00,Silo1,graintemperature,7.7,celsius
GrainTemp1,2024-05-05 14:00:00,Silo1,graintemperature,1.9,celsius
GrainTemp2,2024-05-05 14:00:00,Silo1,graintemperature,6.1,celsius
GrainTemp3,2024-05-05 14:00:00,Silo1,graintemperature,12.7,celsius
GrainTemp1,2024-05-05 15:00:00,Silo1,graintemperature,8.0,celsius
GrainTemp2,2024-05-05 15:00:00,Silo1,graintemperature,13.9,celsius
GrainTemp3,2024-05-05 15:00:00,Silo1,graintemperature,14.3,celsius
GrainTemp1,2024-05-05 16:00:00,Silo1,graintemperature,6.3,celsius
GrainTemp2,2024-05-05 16:00:00,Silo1,graintemperature,14.5,celsius
GrainTemp3,2024-05-05 16:00:00,Silo1,graintemperature,11.4,celsius
GrainTemp1,2024-05-05 17:00:00,Silo1,graintemperature,4.1,celsius
GrainTemp2,2024-05-05 17:00:00,Silo1,graintemperature,12.7,celsius
GrainTemp3,2024-05-05 17:00:00,Silo1,graintemperature,8.3,celsius
Temp1,2024-05-06 08:00:00,Silo1,temperature,20.8,celsius
Humd1,2024-05-06 08:00:00,Silo1,humidity,28.6,percentage
InTemp1,2024-05-06 08:00:00,Silo1,intemperature,24.4,celsius
Temp1,2024-05-06 14:00:00,Silo1,temperature,11.3,celsius
Humd1,2024-05-06 14:00:00,Silo1,humidity,33.6,percentage
InTemp1,2024-05-06 14:00:00,Silo1,intemperature,24.3,celsius
GrainTemp1,2024-05-06 08:00:00,Silo1,graintemperature,12.8,celsius
GrainTemp2,2024-05-06 08:00:00,Silo1,graintemperature,7.8,celsius
GrainTemp3,2024-05-06 08:00:00,Silo1,graintemperature,4.6,celsius
GrainTemp1,2024-05-06 09:00:00,Silo1,graintemperature,9.9,celsius
GrainTemp2,2024-05-06 09:00:00,Silo1,graintemperature,14.1,celsius
GrainTemp3,2024-05-06 09:00:00,Silo1,graintemperature,2.5,celsius
GrainTemp1,2024-05-06 10:00:00,Silo1,graintemperature,1.3,celsius
GrainTemp2,2024-05-06 10:00:00,Silo1,graintemperature,2.1,celsius
GrainTemp3,2024-05-06 10:00:00,Silo1,graintemperature,11.1,celsius
GrainTemp1,2024-05-06 11:00:00,Silo1,graintemperature,4.3,celsius
GrainTemp2,2024-05-06 11:00:00,Silo1,graintemperature,8.6,celsius
GrainTemp3,2024-05-06 11:00:00,Silo1,graintemperature,8.3,celsius
GrainTemp1,2024-05-06 12:00:00,Silo1,graintemperature,11.2,celsius
GrainTemp2,2024-05-06 12:00:00,Silo1,graintemperature,5.2,celsius
GrainTemp3,2024-05-06 12:00:00,Silo1,graintemperature,5.1,celsius
GrainTemp1,2024-05-06 13:00:00,Silo1,graintemperature,12.8,celsius
GrainTemp2,2024-05-06 13:00:00,Silo1,graintemperature,6.9,celsius
GrainTemp3,2024-05-06 13:00:00,Silo1,graintemperature,4.5,celsius
GrainTemp1,2024-05-06 14:00:00,Silo1,graintemperature,5.5,celsius
GrainTemp2,2024-05-06 14:00:00,Silo1,graintemperature,5.6,celsius
GrainTemp3,2024-05-06 14:00:00,Silo1,graintemperature,9.1,celsius
GrainTemp1,2024-05-06 15:00:00,Silo1,graintemperature,3.0,celsius
GrainTemp2,2024-05-06 15:00:00,Silo1,graintemperature,13.1,celsius
GrainTemp3,2024-05-06 15:00:00,Silo1,graintemperature,4.6,celsius
GrainTemp1,2024-05-06 16:00:00,Silo1,graintemperature,12.1,celsius
GrainTemp2,2024-05-06 16:00:00,Silo1,graintemperature,2.0,celsius
GrainTemp3,2024-05-06 16:00:00,Silo1,graintemperature,9.7,celsius
GrainTemp1,2024-05-06 17:00:00,Silo1,graintemperature,6.7,celsius
GrainTemp2,2024-05-06 17:00:00,Silo1,graintemperature,1.5,celsius
GrainTemp3,2024-05-06 17:00:00,Silo1,graintemperature,3.3,celsius
Temp1,2024-05-07 08:00:00,Silo1,temperature,17.3,celsius
Humd1,2024-05-07 08:00:00,Silo1,humidity,13.6,percentage
InTemp1,2024-05-07 08:00:00,Silo1,intemperature,9.7,celsius
Temp1,2024-05-07 14:00:00,Silo1,temperature,23.5,celsius
Humd1,2024-05-07 14:00:00,Silo1,humidity,20.7,percentage
InTemp1,2024-05-07 14:00:00,Silo1,intemperature,21.3,celsius
GrainTemp1,2024-05-07 08:00:00,Silo1,graintemperature,4.9,celsius
GrainTemp2,2024-05-07 08:00:00,Silo1,graintemperature,3.3,celsius
GrainTemp3,2024-05-07 08:00:00,Silo1,graintemperature,8.0,celsius
GrainTemp1,2024-05-07 09:00:00,Silo1,graintemperature,5.3,celsius
GrainTemp2,2024-05-07 09:00:00,Silo1,graintemperature,3.7,celsius
GrainTemp3,2024-05-07 09:00:00,Silo1,graintemperature,12.9,celsius
GrainTemp1,2024-05-07 10:00:00,Silo1,graintemperature,2.9,celsius
GrainTemp2,2024-05-07 10:00:00,Silo1,graintemperature,4.5,celsius
GrainTemp3,2024-05-07 10:00:00,Silo1,graintemperature,4.4,celsius
GrainTemp1,2024-05-07 11:00:00,Silo1,graintemperature,14.0,celsius
GrainTemp2,2024-05-07 11:00:00,Silo1,graintemperature,9.6,celsius
GrainTemp3,2024-05-07 11:00:00,Silo1,graintemperature,5.9,celsius
GrainTemp1,2024-05-07 12:00:00,Silo1,graintemperature,12.8,celsius
GrainTemp2,2024-05-07 12:00:00,Silo1,graintemperature,8.7,celsius
GrainTemp3,2024-05-07 12:00:00,Silo1,graintemperature,2.2,celsius
GrainTemp1,2024-05-07 13:00:00,Silo1,graintemperature,8.7,celsius
GrainTemp2,2024-05-07 13:00:00,Silo1,graintemperature,10.3,celsius
GrainTemp3,2024-05-07 13:00:00,Silo1,graintemperature,10.9,celsius
GrainTemp1,2024-05-07 14:00:00,Silo1,graintemperature,5.6,celsius
GrainTemp2,2024-05-07 14:00:00,Silo1,graintemperature,2.5,celsius
GrainTemp3,2024-05-07 14:00:00,Silo1,graintemperature,13.5,celsius
GrainTemp1,2024-05-07 15:00:00,Silo1,graintemperature,2.7,celsius
GrainTemp2,2024-05-07 15:00:00,Silo1,graintemperature,11.2,celsius
GrainTemp3,2024-05-07 15:00:00,Silo1,graintemperature,7.0,celsius
GrainTemp1,2024-05-07 16:00:00,Silo1,graintemperature,6.1,celsius
GrainTemp2,2024-05-07 16:00:00,Silo1,graintemperature,8.9,celsius
GrainTemp3,2024-05-07 16:00:00,Silo1,graintemperature,4.7,celsius
GrainTemp1,2024-05-07 17:00:00,Silo1,graintemperature,12.5,celsius
GrainTemp2,2024-05-07 17:00:00,Silo1,graintemperature,5.5,celsius
GrainTemp3,2024-05-07 17:00:00,Silo1,graintemperature,10.1,celsius
Temp1,2024-05-08 08:00:00,Silo1,temperature,21.2,celsius
Humd1,2024-05-08 08:00:00,Silo1,humidity,25.5,percentage
InTemp1,2024-05-08 08:00:00,Silo1,intemperature,19.4,celsius
Temp1,2024-05-08 14:00:00,Silo1,temperature,21.4,celsius
Humd1,2024-05-08 14:00:00,Silo1,humidity,7.9,percentage
InTemp1,2024-05-08 14:00:00,Silo1,intemperature,18.3,celsius
GrainTemp1,2024-05-08 08:00:00,Silo1,graintemperature,3.7,celsius
GrainTemp2,2024-05-08 08:00:00,Silo1,graintemperature,12.9,celsius
GrainTemp3,2024-05-08 08:00:00,Silo1,graintemperature,12.1,celsius
GrainTemp1,2024-05-08 09:00:00,Silo1,graintemperature,14.8,celsius
GrainTemp2,2024-05-08 09:00:00,Silo1,graintemperature,1.3,celsius
GrainTemp3,2024-05-08 09:00:00,Silo1,graintemperature,8.6,celsius
GrainTemp1,2024-05-08 10:00:00,Silo1,graintemperature,6.4,celsius
GrainTemp2,2024-05-08 10:00:00,Silo1,graintemperature,10.0,celsius
GrainTemp3,2024-05-08 10:00:00,Silo1,graintemperature,3.8,celsius
GrainTemp1,2024-05-08 11:00:00,Silo1,graintemperature,9.7,celsius
GrainTemp2,2024-05-08 11:00:00,Silo1,graintemperature,2.8,celsius
GrainTemp3,2024-05-08 11:00:00,Silo1,graintemperature,7.1,celsius
GrainTemp1,2024-05-08 12:00:00,Silo1,graintemperature,6.8,celsius
GrainTemp2,2024-05-08 12:00:00,Silo1,graintemperature,8.2,celsius
GrainTemp3,2024-05-08 12:00:00,Silo1,graintemperature,4.7,celsius
GrainTemp1,2024-05-08 13:00:00,Silo1,graintemperature,7.3,celsius
GrainTemp2,2024-05-08 13:00:00,Silo1,graintemperature,5.6,celsius
GrainTemp3,2024-05-08 13:00:00,Silo1,graintemperature,9.8,celsius
GrainTemp1,2024-05-08 14:00:00,Silo1,graintemperature,8.4,celsius
GrainTemp2,2024-05-08 14:00:00,Silo1,graintemperature,3.1,celsius
GrainTemp3,2024-05-08 14:00:00,Silo1,graintemperature,7.2,celsius
GrainTemp1,2024-05-08 15:00:00,Silo1,graintemperature,14.3,celsius
GrainTemp2,2024-05-08 15:00:00,Silo1,graintemperature,11.7,celsius
GrainTemp3,2024-05-08 15:00:00,Silo1,graintemperature,1.2,celsius
GrainTemp1,2024-05-08 16:00:00,Silo1,graintemperature,7.3,celsius
