Event_id,Timestamp,Activity
weigh_empty_trucktr36,2024-05-01 15:14:22,Weigh the Empty Truck
load_trucktr36,2024-05-01 15:18:30,Load Truck
weigh_empty_trucktr28,2024-05-01 15:20:24,Weigh the Empty Truck
weigh_empty_trucktr31,2024-05-01 15:22:23,Weigh the Empty Truck
load_trucktr31,2024-05-01 15:27:00,Load Truck
weigh_empty_trucktr9,2024-05-01 15:35:01,Weigh the Empty Truck
weigh_empty_trucktr32,2024-05-01 15:42:53,Weigh the Empty Truck
assign_trs_Pcp1,2024-05-01 15:45:47,Assign Truck
load_trucktr32,2024-05-01 15:48:05,Load Truck
weigh_empty_trucktr46,2024-05-01 15:52:06,Weigh the Empty Truck
load_trucktr46,2024-05-01 15:55:20,Load Truck
load_trucktr50,2024-05-01 15:55:53,Load Truck
weigh_empty_trucktr11,2024-05-01 15:59:22,Weigh the Empty Truck
weigh_empty_trucktr37,2024-05-01 16:06:06,Weigh the Empty Truck
weigh_empty_trucktr40,2024-05-01 16:08:04,Weigh the Empty Truck
load_trucktr42,2024-05-01 16:08:04,Load Truck
weigh_empty_trucktr3,2024-05-01 16:10:33,Weigh the Empty Truck
load_trucktr5,2024-05-01 16:16:42,Load Truck
weigh_empty_trucktr35,2024-05-01 16:16:54,Weigh the Empty Truck
weigh_empty_trucktr23,2024-05-01 16:19:16,Weigh the Empty Truck
weigh_empty_trucktr49,2024-05-01 16:21:31,Weigh the Empty Truck
load_trucktr3,2024-05-01 16:21:57,Load Truck
weigh_empty_trucktr17,2024-05-01 16:23:06,Weigh the Empty Truck
load_trucktr37,2024-05-01 16:24:26,Load Truck
load_trucktr49,2024-05-01 16:25:30,Load Truck
load_trucktr28,2024-05-01 16:25:31,Load Truck
load_trucktr35,2024-05-01 16:27:30,Load Truck
weigh_empty_trucktr24,2024-05-01 16:30:12,Weigh the Empty Truck
load_trucktr9,2024-05-01 16:40:07,Load Truck
weigh_empty_trucktr25,2024-05-01 16:46:15,Weigh the Empty Truck
load_trucktr40,2024-05-01 16:53:05,Load Truck
load_trucktr23,2024-05-01 16:55:09,Load Truck
load_trucktr24,2024-05-01 16:57:42,Load Truck
weigh_empty_trucktr21,2024-05-01 16:57:50,Weigh the Empty Truck
weigh_empty_trucktr22,2024-05-01 17:14:24,Weigh the Empty Truck
load_trucktr11,2024-05-01 17:18:31,Load Truck
weigh_empty_trucktr38,2024-05-01 17:21:00,Weigh the Empty Truck
load_trucktr38,2024-05-01 17:44:53,Load Truck
load_trucktr22,2024-05-01 17:55:44,Load Truck
weigh_empty_trucktr16,2024-05-01 18:01:46,Weigh the Empty Truck
load_trucktr21,2024-05-01 18:10:29,Load Truck
weigh_empty_trucktr48,2024-05-01 18:11:28,Weigh the Empty Truck
weigh_empty_trucktr41,2024-05-01 18:16:33,Weigh the Empty Truck
load_trucktr25,2024-05-01 18:35:17,Load Truck
weigh_empty_trucktr12,2024-05-01 18:36:03,Weigh the Empty Truck
load_trucktr48,2024-05-01 18:50:48,Load Truck
load_trucktr17,2024-05-01 19:18:53,Load Truck
load_trucktr16,2024-05-02 07:10:23,Load Truck
weigh_empty_trucktr44,2024-05-02 07:37:28,Weigh the Empty Truck
load_trucktr41,2024-05-02 07:57:12,Load Truck
load_trucktr44,2024-05-02 07:57:16,Load Truck
weigh_empty_trucktr2,2024-05-02 08:12:13,Weigh the Empty Truck
load_trucktr12,2024-05-02 08:23:08,Load Truck
load_trucktr2,2024-05-02 08:27:13,Load Truck
weigh_empty_trucktr1,2024-05-02 08:40:15,Weigh the Empty Truck
weigh_empty_trucktr27,2024-05-02 09:27:00,Weigh the Empty Truck
load_trucktr27,2024-05-02 09:32:50,Load Truck
weigh_empty_trucktr15,2024-05-02 09:38:00,Weigh the Empty Truck
load_trucktr1,2024-05-02 09:43:22,Load Truck
weigh_empty_trucktr43,2024-05-02 09:45:14,Weigh the Empty Truck
weigh_empty_trucktr26,2024-05-02 09:51:37,Weigh the Empty Truck
load_trucktr26,2024-05-02 09:58:25,Load Truck
weigh_empty_trucktr8,2024-05-02 10:31:04,Weigh the Empty Truck
weigh_empty_trucktr29,2024-05-02 10:35:28,Weigh the Empty Truck
weigh_empty_trucktr13,2024-05-02 10:39:31,Weigh the Empty Truck
weigh_empty_trucktr47,2024-05-02 10:42:44,Weigh the Empty Truck
load_trucktr29,2024-05-02 10:46:51,Load Truck
weigh_empty_trucktr6,2024-05-02 10:47:47,Weigh the Empty Truck
load_trucktr13,2024-05-02 10:48:08,Load Truck
weigh_empty_trucktr45,2024-05-02 10:48:31,Weigh the Empty Truck
load_trucktr43,2024-05-02 10:54:52,Load Truck
load_trucktr15,2024-05-02 10:56:58,Load Truck
weigh_empty_trucktr30,2024-05-02 11:01:20,Weigh the Empty Truck
load_trucktr30,2024-05-02 11:06:54,Load Truck
load_trucktr47,2024-05-02 11:45:06,Load Truck
load_trucktr8,2024-05-02 11:56:37,Load Truck
load_trucktr6,2024-05-02 12:03:17,Load Truck
weigh_empty_trucktr19,2024-05-02 12:06:01,Weigh the Empty Truck
load_trucktr45,2024-05-02 12:06:55,Load Truck
load_trucktr19,2024-05-02 13:41:51,Load Truck
weigh_loaded_trucktr36,2024-05-02 14:47:57,Weigh the Loaded Truck
weigh_loaded_trucktr7,2024-05-02 14:54:57,Weigh the Loaded Truck
weigh_loaded_trucktr16,2024-05-02 15:53:55,Weigh the Loaded Truck
weigh_loaded_trucktr20,2024-05-02 15:54:17,Weigh the Loaded Truck
weigh_loaded_trucktr10,2024-05-02 16:18:32,Weigh the Loaded Truck
print_w_tickettr36,2024-05-02 16:51:20,Print the Weighing Ticket
input_tally_sheettr36,2024-05-02 16:51:20,Input the Tally Sheet
print_w_tickettr10,2024-05-02 17:05:15,Print the Weighing Ticket
input_tally_sheettr10,2024-05-02 17:05:15,Input the Tally Sheet
weigh_loaded_trucktr49,2024-05-02 17:07:01,Weigh the Loaded Truck
print_w_tickettr7,2024-05-02 17:17:52,Print the Weighing Ticket
input_tally_sheettr7,2024-05-02 17:17:52,Input the Tally Sheet
input_tally_sheettr49,2024-05-02 17:49:15,Input the Tally Sheet
print_w_tickettr49,2024-05-02 17:49:15,Print the Weighing Ticket
eval_trs_exittr7_Pcp6,2024-05-02 17:52:27,Evaluate the Truck Exit
weigh_loaded_trucktr28,2024-05-02 17:57:51,Weigh the Loaded Truck
print_w_tickettr16,2024-05-02 18:03:41,Print the Weighing Ticket
input_tally_sheettr16,2024-05-02 18:03:41,Input the Tally Sheet
weigh_loaded_trucktr27,2024-05-02 18:18:11,Weigh the Loaded Truck
input_tally_sheettr20,2024-05-02 18:26:34,Input the Tally Sheet
print_w_tickettr20,2024-05-02 18:26:34,Print the Weighing Ticket
eval_trs_exittr36_Pcp1,2024-05-02 18:36:07,Evaluate the Truck Exit
eval_trs_exittr16_Pcp1,2024-05-03 07:18:46,Evaluate the Truck Exit
eval_trs_exittr10_Pcp6,2024-05-03 07:42:18,Evaluate the Truck Exit
eval_trs_exittr20_Pcp1,2024-05-03 07:51:48,Evaluate the Truck Exit
weigh_loaded_trucktr11,2024-05-03 08:10:48,Weigh the Loaded Truck
weigh_loaded_trucktr44,2024-05-03 08:15:21,Weigh the Loaded Truck
weigh_loaded_trucktr42,2024-05-03 08:28:36,Weigh the Loaded Truck
eval_trs_exittr49_Pcp1,2024-05-03 08:32:23,Evaluate the Truck Exit
weigh_loaded_trucktr32,2024-05-03 08:37:59,Weigh the Loaded Truck
weigh_loaded_trucktr46,2024-05-03 08:38:22,Weigh the Loaded Truck
input_tally_sheettr44,2024-05-03 09:09:25,Input the Tally Sheet
print_w_tickettr44,2024-05-03 09:09:25,Print the Weighing Ticket
input_tally_sheettr11,2024-05-03 09:22:25,Input the Tally Sheet
print_w_tickettr11,2024-05-03 09:22:25,Print the Weighing Ticket
eval_trs_exittr44_Pcp1,2024-05-03 09:36:51,Evaluate the Truck Exit
weigh_loaded_trucktr2,2024-05-03 09:47:45,Weigh the Loaded Truck
eval_trs_exittr11_Pcp6,2024-05-03 09:58:23,Evaluate the Truck Exit
input_tally_sheettr42,2024-05-03 10:04:51,Input the Tally Sheet
print_w_tickettr42,2024-05-03 10:04:51,Print the Weighing Ticket
weigh_loaded_trucktr25,2024-05-03 10:11:26,Weigh the Loaded Truck
input_tally_sheettr32,2024-05-03 10:31:30,Input the Tally Sheet
print_w_tickettr32,2024-05-03 10:31:30,Print the Weighing Ticket
eval_trs_exittr42_Pcp6,2024-05-03 10:39:27,Evaluate the Truck Exit
assign_trs_Pcp2,2024-05-03 10:46:27,Assign Truck
assign_trs_Pcp2,2024-05-03 10:48:02,Assign Truck
eval_trs_exittr32_Pcp6,2024-05-03 10:48:24,Evaluate the Truck Exit
weigh_loaded_trucktr15,2024-05-03 10:55:39,Weigh the Loaded Truck
assign_trs_Pcp8,2024-05-03 10:57:31,Assign Truck
print_w_tickettr46,2024-05-03 10:59:31,Print the Weighing Ticket
input_tally_sheettr46,2024-05-03 10:59:31,Input the Tally Sheet
weigh_loaded_trucktr4,2024-05-03 11:00:06,Weigh the Loaded Truck
assign_trs_Pcp3,2024-05-03 11:12:52,Assign Truck
input_tally_sheettr4,2024-05-03 11:23:22,Input the Tally Sheet
print_w_tickettr4,2024-05-03 11:23:22,Print the Weighing Ticket
weigh_loaded_trucktr35,2024-05-03 11:31:50,Weigh the Loaded Truck
eval_trs_exittr4_Pcp6,2024-05-03 11:41:41,Evaluate the Truck Exit
assign_trs_Pcp10,2024-05-03 11:46:15,Assign Truck
weigh_loaded_trucktr48,2024-05-03 11:46:29,Weigh the Loaded Truck
input_tally_sheettr25,2024-05-03 11:48:10,Input the Tally Sheet
print_w_tickettr25,2024-05-03 11:48:10,Print the Weighing Ticket
input_tally_sheettr35,2024-05-03 11:55:12,Input the Tally Sheet
print_w_tickettr35,2024-05-03 11:55:12,Print the Weighing Ticket
assign_trs_Pcp8,2024-05-03 11:58:51,Assign Truck
assign_trs_Pcp2,2024-05-03 12:28:05,Assign Truck
weigh_loaded_trucktr19,2024-05-03 12:29:08,Weigh the Loaded Truck
input_tally_sheettr2,2024-05-03 12:46:51,Input the Tally Sheet
print_w_tickettr2,2024-05-03 12:46:51,Print the Weighing Ticket
eval_trs_exittr46_Pcp6,2024-05-03 12:47:57,Evaluate the Truck Exit
print_w_tickettr15,2024-05-03 13:17:46,Print the Weighing Ticket
input_tally_sheettr15,2024-05-03 13:17:46,Input the Tally Sheet
eval_trs_exittr2_Pcp6,2024-05-03 14:10:13,Evaluate the Truck Exit
weigh_empty_trucktr7,2024-05-03 14:11:14,Weigh the Empty Truck
eval_trs_exittr15_Pcp6,2024-05-03 14:18:54,Evaluate the Truck Exit
eval_trs_exittr25_Pcp6,2024-05-03 14:27:54,Evaluate the Truck Exit
eval_trs_exittr35_Pcp6,2024-05-03 14:30:17,Evaluate the Truck Exit
assign_trs_Pcp3,2024-05-03 14:46:24,Assign Truck
weigh_loaded_trucktr21,2024-05-03 14:56:28,Weigh the Loaded Truck
assign_trs_Pcp1,2024-05-03 15:01:53,Assign Truck
print_w_tickettr19,2024-05-03 15:06:39,Print the Weighing Ticket
input_tally_sheettr19,2024-05-03 15:06:39,Input the Tally Sheet
eval_trs_exittr19_Pcp1,2024-05-03 15:26:41,Evaluate the Truck Exit
load_trucktr7,2024-05-03 15:30:07,Load Truck
weigh_loaded_trucktr41,2024-05-03 15:37:14,Weigh the Loaded Truck
weigh_loaded_trucktr26,2024-05-03 16:02:53,Weigh the Loaded Truck
assign_trs_Pcp2,2024-05-03 16:10:06,Assign Truck
assign_trs_Pcp5,2024-05-03 16:16:13,Assign Truck
weigh_loaded_trucktr24,2024-05-03 16:29:09,Weigh the Loaded Truck
assign_trs_Pcp9,2024-05-03 16:29:55,Assign Truck
print_w_tickettr26,2024-05-03 16:30:33,Print the Weighing Ticket
input_tally_sheettr26,2024-05-03 16:30:33,Input the Tally Sheet
weigh_loaded_trucktr3,2024-05-03 16:32:23,Weigh the Loaded Truck
assign_trs_Pcp2,2024-05-03 16:36:34,Assign Truck
print_w_tickettr48,2024-05-03 16:37:51,Print the Weighing Ticket
input_tally_sheettr48,2024-05-03 16:37:51,Input the Tally Sheet
print_w_tickettr41,2024-05-03 16:57:33,Print the Weighing Ticket
input_tally_sheettr41,2024-05-03 16:57:33,Input the Tally Sheet
weigh_loaded_trucktr12,2024-05-03 17:00:19,Weigh the Loaded Truck
input_tally_sheettr3,2024-05-03 17:10:23,Input the Tally Sheet
print_w_tickettr3,2024-05-03 17:10:23,Print the Weighing Ticket
assign_trs_Pcp10,2024-05-03 17:18:38,Assign Truck
print_w_tickettr21,2024-05-03 17:28:00,Print the Weighing Ticket
input_tally_sheettr21,2024-05-03 17:28:00,Input the Tally Sheet
weigh_loaded_trucktr22,2024-05-03 17:40:50,Weigh the Loaded Truck
print_w_tickettr24,2024-05-03 17:44:15,Print the Weighing Ticket
input_tally_sheettr24,2024-05-03 17:44:15,Input the Tally Sheet
eval_trs_exittr48_Pcp6,2024-05-03 17:57:03,Evaluate the Truck Exit
weigh_empty_trucktr16,2024-05-03 18:34:17,Weigh the Empty Truck
eval_trs_exittr26_Pcp6,2024-05-03 19:16:06,Evaluate the Truck Exit
print_w_tickettr27,2024-05-03 22:20:04,Print the Weighing Ticket
input_tally_sheettr27,2024-05-03 22:20:04,Input the Tally Sheet
print_w_tickettr28,2024-05-03 22:49:21,Print the Weighing Ticket
input_tally_sheettr28,2024-05-03 22:49:21,Input the Tally Sheet
weigh_empty_trucktr25,2024-05-06 07:14:51,Weigh the Empty Truck
eval_trs_exittr3_Pcp1,2024-05-06 07:18:51,Evaluate the Truck Exit
load_trucktr25,2024-05-06 07:38:08,Load Truck
eval_trs_exittr21_Pcp6,2024-05-06 07:42:27,Evaluate the Truck Exit
load_trucktr16,2024-05-06 07:52:24,Load Truck
weigh_loaded_trucktr33,2024-05-06 08:08:36,Weigh the Loaded Truck
weigh_empty_trucktr49,2024-05-06 08:08:40,Weigh the Empty Truck
eval_trs_exittr41_Pcp6,2024-05-06 08:08:57,Evaluate the Truck Exit
eval_trs_exittr28_Pcp1,2024-05-06 08:08:58,Evaluate the Truck Exit
assign_trs_Pcp3,2024-05-06 08:09:35,Assign Truck
weigh_loaded_trucktr29,2024-05-06 08:10:36,Weigh the Loaded Truck
eval_trs_exittr27_Pcp1,2024-05-06 08:11:37,Evaluate the Truck Exit
load_trucktr49,2024-05-06 08:19:37,Load Truck
eval_trs_exittr24_Pcp1,2024-05-06 08:37:49,Evaluate the Truck Exit
weigh_loaded_trucktr9,2024-05-06 08:51:17,Weigh the Loaded Truck
weigh_empty_trucktr46,2024-05-06 08:52:22,Weigh the Empty Truck
print_w_tickettr33,2024-05-06 08:53:31,Print the Weighing Ticket
input_tally_sheettr33,2024-05-06 08:53:31,Input the Tally Sheet
print_w_tickettr12,2024-05-06 08:53:51,Print the Weighing Ticket
input_tally_sheettr12,2024-05-06 08:53:51,Input the Tally Sheet
assign_trs_Pcp1,2024-05-06 09:34:02,Assign Truck
weigh_empty_trucktr44,2024-05-06 09:35:03,Weigh the Empty Truck
load_trucktr44,2024-05-06 09:41:30,Load Truck
weigh_empty_trucktr20,2024-05-06 09:42:56,Weigh the Empty Truck
weigh_loaded_trucktr38,2024-05-06 09:54:13,Weigh the Loaded Truck
print_w_tickettr29,2024-05-06 10:06:46,Print the Weighing Ticket
input_tally_sheettr29,2024-05-06 10:06:46,Input the Tally Sheet
assign_trs_Pcp9,2024-05-06 10:07:07,Assign Truck
assign_trs_Pcp5,2024-05-06 10:09:10,Assign Truck
eval_trs_exittr33_Pcp6,2024-05-06 10:10:33,Evaluate the Truck Exit
eval_trs_exittr12_Pcp1,2024-05-06 10:28:44,Evaluate the Truck Exit
eval_trs_exittr29_Pcp1,2024-05-06 10:32:40,Evaluate the Truck Exit
assign_trs_Pcp3,2024-05-06 10:34:40,Assign Truck
load_trucktr46,2024-05-06 10:41:17,Load Truck
weigh_empty_trucktr10,2024-05-06 10:45:16,Weigh the Empty Truck
weigh_empty_trucktr36,2024-05-06 10:49:16,Weigh the Empty Truck
load_trucktr20,2024-05-06 10:51:06,Load Truck
weigh_loaded_trucktr5,2024-05-06 10:52:13,Weigh the Loaded Truck
weigh_empty_trucktr11,2024-05-06 10:54:06,Weigh the Empty Truck
load_trucktr10,2024-05-06 10:58:08,Load Truck
assign_trs_Pcp2,2024-05-06 10:59:40,Assign Truck
weigh_loaded_trucktr45,2024-05-06 11:03:41,Weigh the Loaded Truck
weigh_loaded_trucktr39,2024-05-06 11:03:53,Weigh the Loaded Truck
assign_trs_Pcp10,2024-05-06 11:04:03,Assign Truck
input_tally_sheettr38,2024-05-06 11:06:52,Input the Tally Sheet
print_w_tickettr38,2024-05-06 11:06:52,Print the Weighing Ticket
assign_trs_Pcp3,2024-05-06 11:09:00,Assign Truck
assign_trs_Pcp8,2024-05-06 11:10:47,Assign Truck
print_w_tickettr9,2024-05-06 11:14:12,Print the Weighing Ticket
input_tally_sheettr9,2024-05-06 11:14:12,Input the Tally Sheet
input_tally_sheettr45,2024-05-06 11:18:49,Input the Tally Sheet
print_w_tickettr45,2024-05-06 11:18:49,Print the Weighing Ticket
eval_trs_exittr45_Pcp1,2024-05-06 11:28:41,Evaluate the Truck Exit
weigh_loaded_trucktr34,2024-05-06 11:39:05,Weigh the Loaded Truck
eval_trs_exittr9_Pcp6,2024-05-06 11:39:42,Evaluate the Truck Exit
weigh_empty_trucktr48,2024-05-06 11:43:51,Weigh the Empty Truck
eval_trs_exittr38_Pcp1,2024-05-06 11:50:35,Evaluate the Truck Exit
print_w_tickettr5,2024-05-06 11:59:52,Print the Weighing Ticket
input_tally_sheettr5,2024-05-06 11:59:52,Input the Tally Sheet
weigh_loaded_trucktr23,2024-05-06 12:04:19,Weigh the Loaded Truck
assign_trs_Pcp7,2024-05-06 12:05:45,Assign Truck
weigh_loaded_trucktr30,2024-05-06 12:06:31,Weigh the Loaded Truck
print_w_tickettr39,2024-05-06 12:09:42,Print the Weighing Ticket
input_tally_sheettr39,2024-05-06 12:09:42,Input the Tally Sheet
load_trucktr11,2024-05-06 12:09:46,Load Truck
load_trucktr36,2024-05-06 12:32:41,Load Truck
weigh_empty_trucktr3,2024-05-06 12:32:56,Weigh the Empty Truck
weigh_loaded_trucktr43,2024-05-06 12:50:10,Weigh the Loaded Truck
weigh_empty_trucktr19,2024-05-06 13:15:22,Weigh the Empty Truck
load_trucktr19,2024-05-06 13:20:32,Load Truck
eval_trs_exittr39_Pcp1,2024-05-06 13:24:14,Evaluate the Truck Exit
assign_trs_Pcp1,2024-05-06 13:42:24,Assign Truck
load_trucktr48,2024-05-06 13:47:11,Load Truck
eval_trs_exittr5_Pcp1,2024-05-06 14:19:49,Evaluate the Truck Exit
input_tally_sheettr34,2024-05-06 14:20:10,Input the Tally Sheet
print_w_tickettr34,2024-05-06 14:20:10,Print the Weighing Ticket
input_tally_sheettr23,2024-05-06 14:21:17,Input the Tally Sheet
print_w_tickettr23,2024-05-06 14:21:17,Print the Weighing Ticket
print_w_tickettr30,2024-05-06 14:22:50,Print the Weighing Ticket
input_tally_sheettr30,2024-05-06 14:22:50,Input the Tally Sheet
assign_trs_Pcp2,2024-05-06 14:27:01,Assign Truck
load_trucktr3,2024-05-06 14:28:45,Load Truck
weigh_empty_trucktr26,2024-05-06 14:37:17,Weigh the Empty Truck
eval_trs_exittr30_Pcp1,2024-05-06 14:41:05,Evaluate the Truck Exit
weigh_empty_trucktr15,2024-05-06 14:42:21,Weigh the Empty Truck
load_trucktr26,2024-05-06 14:43:18,Load Truck
load_trucktr15,2024-05-06 14:46:58,Load Truck
eval_trs_exittr23_Pcp6,2024-05-06 14:48:27,Evaluate the Truck Exit
eval_trs_exittr34_Pcp6,2024-05-06 14:53:28,Evaluate the Truck Exit
weigh_empty_trucktr2,2024-05-06 14:53:48,Weigh the Empty Truck
assign_trs_Pcp1,2024-05-06 14:59:38,Assign Truck
input_tally_sheettr43,2024-05-06 15:08:18,Input the Tally Sheet
print_w_tickettr43,2024-05-06 15:08:18,Print the Weighing Ticket
eval_trs_exittr43_Pcp6,2024-05-06 15:21:31,Evaluate the Truck Exit
assign_trs_Pcp4,2024-05-06 15:39:31,Assign Truck
weigh_empty_trucktr42,2024-05-06 15:49:59,Weigh the Empty Truck
weigh_empty_trucktr4,2024-05-06 15:59:41,Weigh the Empty Truck
weigh_empty_trucktr32,2024-05-06 16:08:37,Weigh the Empty Truck
weigh_loaded_trucktr8,2024-05-06 16:08:43,Weigh the Loaded Truck
weigh_loaded_trucktr7,2024-05-06 16:24:49,Weigh the Loaded Truck
load_trucktr2,2024-05-06 16:26:09,Load Truck
weigh_loaded_trucktr47,2024-05-06 16:36:53,Weigh the Loaded Truck
load_trucktr32,2024-05-06 16:49:18,Load Truck
weigh_empty_trucktr21,2024-05-06 16:49:41,Weigh the Empty Truck
assign_trs_Pcp8,2024-05-06 16:50:46,Assign Truck
print_w_tickettr47,2024-05-06 17:02:14,Print the Weighing Ticket
input_tally_sheettr47,2024-05-06 17:02:14,Input the Tally Sheet
assign_trs_Pcp5,2024-05-06 17:04:28,Assign Truck
assign_trs_Pcp2,2024-05-06 17:04:42,Assign Truck
print_w_tickettr8,2024-05-06 17:07:24,Print the Weighing Ticket
input_tally_sheettr8,2024-05-06 17:07:24,Input the Tally Sheet
load_trucktr4,2024-05-06 17:08:52,Load Truck
assign_trs_Pcp4,2024-05-06 17:18:18,Assign Truck
weigh_loaded_trucktr50,2024-05-06 17:39:52,Weigh the Loaded Truck
load_trucktr42,2024-05-06 17:42:32,Load Truck
load_trucktr21,2024-05-06 17:57:59,Load Truck
eval_trs_exittr47_Pcp1,2024-05-06 17:58:10,Evaluate the Truck Exit
weigh_empty_trucktr35,2024-05-06 18:11:13,Weigh the Empty Truck
assign_trs_Pcp3,2024-05-06 18:28:10,Assign Truck
input_tally_sheettr7,2024-05-06 19:26:30,Input the Tally Sheet
print_w_tickettr7,2024-05-06 19:26:30,Print the Weighing Ticket
eval_trs_exittr8_Pcp6,2024-05-07 07:09:18,Evaluate the Truck Exit
weigh_loaded_trucktr17,2024-05-07 07:25:03,Weigh the Loaded Truck
eval_trs_exittr7_Pcp2,2024-05-07 07:55:55,Evaluate the Truck Exit
load_trucktr35,2024-05-07 08:04:36,Load Truck
assign_trs_Pcp1,2024-05-07 08:10:30,Assign Truck
assign_trs_Pcp8,2024-05-07 08:15:15,Assign Truck
