Event_id,Object_id,E2O_qualifier
assign_trs_Pcp9,tr31,Pickup plan trucks assignment
assign_trs_Pcp6,tr32,Pickup plan trucks assignment
assign_trs_Pcp9,tr15,Pickup plan trucks assignment
assign_trs_Pcp9,tr46,Pickup plan trucks assignment
assign_trs_Pcp6,tr13,Pickup plan trucks assignment
assign_trs_Pcp6,tr49,Pickup plan trucks assignment
assign_trs_Pcp6,tr5,Pickup plan trucks assignment
trs_entrytr30,tr30,Entry evaluation for truck
trs_entrytr45,tr45,Entry evaluation for truck
weigh_empty_trucktr30,tr30,Empty truck weighed
trs_entrytr19,tr19,Entry evaluation for truck
weigh_empty_trucktr19,tr19,Empty truck weighed
trs_entrytr34,tr34,Entry evaluation for truck
check_abnormalitytr19,tr19,truck exmained for empty weight abnormality
trs_entrytr35,tr35,Entry evaluation for truck
trs_entrytr4,tr4,Entry evaluation for truck
weigh_empty_trucktr34,tr34,Empty truck weighed
weigh_empty_trucktr45,tr45,Empty truck weighed
check_abnormalitytr30,tr30,truck exmained for empty weight abnormality
trs_entrytr40,tr40,Entry evaluation for truck
trs_entrytr1,tr1,Entry evaluation for truck
trs_entrytr21,tr21,Entry evaluation for truck
weigh_empty_trucktr40,tr40,Empty truck weighed
trs_entrytr26,tr26,Entry evaluation for truck
weigh_empty_trucktr21,tr21,Empty truck weighed
trs_entrytr6,tr6,Entry evaluation for truck
weigh_empty_trucktr4,tr4,Empty truck weighed
weigh_empty_trucktr35,tr35,Empty truck weighed
trs_entrytr16,tr16,Entry evaluation for truck
check_abnormalitytr4,tr4,truck exmained for empty weight abnormality
check_abnormalitytr45,tr45,truck exmained for empty weight abnormality
check_abnormalitytr35,tr35,truck exmained for empty weight abnormality
weigh_empty_trucktr1,tr1,Empty truck weighed
check_abnormalitytr21,tr21,truck exmained for empty weight abnormality
trs_entrytr8,tr8,Entry evaluation for truck
weigh_empty_trucktr16,tr16,Empty truck weighed
check_abnormalitytr1,tr1,truck exmained for empty weight abnormality
weigh_empty_trucktr26,tr26,Empty truck weighed
check_abnormalitytr26,tr26,truck exmained for empty weight abnormality
check_abnormalitytr40,tr40,truck exmained for empty weight abnormality
check_abnormalitytr34,tr34,truck exmained for empty weight abnormality
weigh_empty_trucktr6,tr6,Empty truck weighed
trs_entrytr38,tr38,Entry evaluation for truck
fail_weightr30,tr30,Truck failed to be weighed
weigh_empty_trucktr8,tr8,Empty truck weighed
fail_weightr19,tr19,Truck failed to be weighed
trs_entrytr37,tr37,Entry evaluation for truck
check_abnormalitytr8,tr8,truck exmained for empty weight abnormality
weigh_empty_trucktr37,tr37,Empty truck weighed
check_abnormalitytr6,tr6,truck exmained for empty weight abnormality
check_abnormalitytr16,tr16,truck exmained for empty weight abnormality
trs_entrytr31,tr31,Entry evaluation for truck
check_abnormalitytr37,tr37,truck exmained for empty weight abnormality
weigh_empty_trucktr38,tr38,Empty truck weighed
assign_trs_Pcp8,tr30,Pickup plan trucks assignment
arrive_at_Silo5,Silo5,Silo for truck load
check_abnormalitytr38,tr38,truck exmained for empty weight abnormality
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
arrive_at_Silo7,Silo7,Silo for truck load
fail_weightr1,tr1,Truck failed to be weighed
fail_weightr34,tr34,Truck failed to be weighed
trs_entrytr25,tr25,Entry evaluation for truck
trs_entrytr27,tr27,Entry evaluation for truck
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
arrive_at_Silo5,Silo5,Silo for truck load
weigh_empty_trucktr25,tr25,Empty truck weighed
load_trucktr45,tr45,cargo load for truck
weigh_empty_trucktr27,tr27,Empty truck weighed
fail_weightr37,tr37,Truck failed to be weighed
trs_entrytr10,tr10,Entry evaluation for truck
check_abnormalitytr27,tr27,truck exmained for empty weight abnormality
fail_weightr6,tr6,Truck failed to be weighed
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
weigh_empty_trucktr10,tr10,Empty truck weighed
weigh_empty_trucktr31,tr31,Empty truck weighed
arrive_at_Silo5,Silo5,Silo for truck load
load_trucktr26,tr26,cargo load for truck
arrive_at_Silo7,Silo7,Silo for truck load
load_trucktr40,tr40,cargo load for truck
trs_entrytr48,tr48,Entry evaluation for truck
arrive_at_Silo5,Silo5,Silo for truck load
trs_entrytr28,tr28,Entry evaluation for truck
trs_entrytr20,tr20,Entry evaluation for truck
weigh_empty_trucktr48,tr48,Empty truck weighed
trs_entrytr36,tr36,Entry evaluation for truck
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
arrive_at_Silo7,Silo7,Silo for truck load
weigh_empty_trucktr28,tr28,Empty truck weighed
weigh_empty_trucktr20,tr20,Empty truck weighed
arrive_at_Silo7,Silo7,Silo for truck load
check_abnormalitytr28,tr28,truck exmained for empty weight abnormality
load_trucktr8,tr8,cargo load for truck
load_trucktr35,tr35,cargo load for truck
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
assign_trs_Pcp6,tr19,Pickup plan trucks assignment
check_abnormalitytr48,tr48,truck exmained for empty weight abnormality
check_abnormalitytr20,tr20,truck exmained for empty weight abnormality
weigh_empty_trucktr36,tr36,Empty truck weighed
load_trucktr16,tr16,cargo load for truck
check_abnormalitytr25,tr25,truck exmained for empty weight abnormality
load_trucktr21,tr21,cargo load for truck
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
check_abnormalitytr31,tr31,truck exmained for empty weight abnormality
trs_entrytr14,tr14,Entry evaluation for truck
check_abnormalitytr10,tr10,truck exmained for empty weight abnormality
trs_entrytr42,tr42,Entry evaluation for truck
load_trucktr4,tr4,cargo load for truck
weigh_empty_trucktr42,tr42,Empty truck weighed
trs_entrytr44,tr44,Entry evaluation for truck
check_abnormalitytr42,tr42,truck exmained for empty weight abnormality
weigh_empty_trucktr14,tr14,Empty truck weighed
weigh_empty_trucktr44,tr44,Empty truck weighed
assign_trs_Pcp8,tr1,Pickup plan trucks assignment
trs_entrytr18,tr18,Entry evaluation for truck
fail_weightr42,tr42,Truck failed to be weighed
check_abnormalitytr36,tr36,truck exmained for empty weight abnormality
weigh_empty_trucktr18,tr18,Empty truck weighed
fail_weightr48,tr48,Truck failed to be weighed
trs_entrytr49,tr49,Entry evaluation for truck
trs_entrytr9,tr9,Entry evaluation for truck
arrive_at_Silo7,Silo7,Silo for truck load
weigh_empty_trucktr9,tr9,Empty truck weighed
arrive_at_Silo5,Silo5,Silo for truck load
arrive_at_Silo5,Silo5,Silo for truck load
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
load_trucktr31,tr31,cargo load for truck
load_trucktr38,tr38,cargo load for truck
arrive_at_Silo5,Silo5,Silo for truck load
check_abnormalitytr9,tr9,truck exmained for empty weight abnormality
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
arrive_at_Silo7,Silo7,Silo for truck load
check_abnormalitytr14,tr14,truck exmained for empty weight abnormality
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
check_abnormalitytr44,tr44,truck exmained for empty weight abnormality
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
arrive_at_Silo5,Silo5,Silo for truck load
load_trucktr25,tr25,cargo load for truck
load_trucktr27,tr27,cargo load for truck
fail_weightr20,tr20,Truck failed to be weighed
load_trucktr10,tr10,cargo load for truck
check_abnormalitytr18,tr18,truck exmained for empty weight abnormality
weigh_empty_trucktr49,tr49,Empty truck weighed
check_abnormalitytr49,tr49,truck exmained for empty weight abnormality
trs_entrytr23,tr23,Entry evaluation for truck
assign_trs_Pcp2,tr6,Pickup plan trucks assignment
weigh_empty_trucktr23,tr23,Empty truck weighed
arrive_at_Silo5,Silo5,Silo for truck load
trs_entrytr5,tr5,Entry evaluation for truck
trs_entrytr32,tr32,Entry evaluation for truck
trs_entrytr33,tr33,Entry evaluation for truck
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
assign_trs_Pcp2,tr42,Pickup plan trucks assignment
check_abnormalitytr23,tr23,truck exmained for empty weight abnormality
load_trucktr36,tr36,cargo load for truck
trs_entrytr7,tr7,Entry evaluation for truck
weigh_empty_trucktr5,tr5,Empty truck weighed
fail_weightr18,tr18,Truck failed to be weighed
assign_trs_Pcp5,tr34,Pickup plan trucks assignment
trs_entrytr2,tr2,Entry evaluation for truck
weigh_empty_trucktr32,tr32,Empty truck weighed
fail_weightr14,tr14,Truck failed to be weighed
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
weigh_empty_trucktr33,tr33,Empty truck weighed
trs_entrytr15,tr15,Entry evaluation for truck
trs_entrytr50,tr50,Entry evaluation for truck
weigh_empty_trucktr50,tr50,Empty truck weighed
assign_trs_Pcp2,tr48,Pickup plan trucks assignment
arrive_at_Silo5,Silo5,Silo for truck load
trs_entrytr24,tr24,Entry evaluation for truck
weigh_empty_trucktr24,tr24,Empty truck weighed
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
check_abnormalitytr50,tr50,truck exmained for empty weight abnormality
check_abnormalitytr24,tr24,truck exmained for empty weight abnormality
load_trucktr44,tr44,cargo load for truck
assign_trs_Pcp10,tr20,Pickup plan trucks assignment
assign_trs_Pcp5,tr37,Pickup plan trucks assignment
weigh_empty_trucktr15,tr15,Empty truck weighed
trs_entrytr3,tr3,Entry evaluation for truck
weigh_empty_trucktr7,tr7,Empty truck weighed
arrive_at_Silo7,Silo7,Silo for truck load
check_abnormalitytr5,tr5,truck exmained for empty weight abnormality
check_abnormalitytr32,tr32,truck exmained for empty weight abnormality
arrive_at_Silo5,Silo5,Silo for truck load
fail_weightr23,tr23,Truck failed to be weighed
check_abnormalitytr15,tr15,truck exmained for empty weight abnormality
load_trucktr28,tr28,cargo load for truck
weigh_empty_trucktr2,tr2,Empty truck weighed
check_abnormalitytr33,tr33,truck exmained for empty weight abnormality
trs_entrytr12,tr12,Entry evaluation for truck
trs_entrytr29,tr29,Entry evaluation for truck
assign_trs_Pcp10,tr18,Pickup plan trucks assignment
weigh_empty_trucktr12,tr12,Empty truck weighed
check_abnormalitytr7,tr7,truck exmained for empty weight abnormality
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
weigh_empty_trucktr3,tr3,Empty truck weighed
trs_entrytr19,tr19,Entry evaluation for truck
fail_weightr15,tr15,Truck failed to be weighed
weigh_empty_trucktr29,tr29,Empty truck weighed
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
arrive_at_Silo5,Silo5,Silo for truck load
check_abnormalitytr12,tr12,truck exmained for empty weight abnormality
check_abnormalitytr2,tr2,truck exmained for empty weight abnormality
load_trucktr9,tr9,cargo load for truck
load_trucktr49,tr49,cargo load for truck
weigh_empty_trucktr19,tr19,Empty truck weighed
assign_trs_Pcp8,tr14,Pickup plan trucks assignment
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
check_abnormalitytr3,tr3,truck exmained for empty weight abnormality
load_trucktr24,tr24,cargo load for truck
check_abnormalitytr19,tr19,truck exmained for empty weight abnormality
trs_entrytr47,tr47,Entry evaluation for truck
arrive_at_Silo5,Silo5,Silo for truck load
fail_weightr7,tr7,Truck failed to be weighed
fail_weightr2,tr2,Truck failed to be weighed
fail_weightr32,tr32,Truck failed to be weighed
trs_entrytr41,tr41,Entry evaluation for truck
check_abnormalitytr29,tr29,truck exmained for empty weight abnormality
trs_entrytr17,tr17,Entry evaluation for truck
assign_trs_Pcp4,tr23,Pickup plan trucks assignment
arrive_at_Silo7,Silo7,Silo for truck load
arrive_at_Silo7,Silo7,Silo for truck load
weigh_empty_trucktr41,tr41,Empty truck weighed
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
fail_weightr3,tr3,Truck failed to be weighed
weigh_empty_trucktr47,tr47,Empty truck weighed
trs_entrytr39,tr39,Entry evaluation for truck
trs_entrytr46,tr46,Entry evaluation for truck
trs_entrytr43,tr43,Entry evaluation for truck
check_abnormalitytr47,tr47,truck exmained for empty weight abnormality
assign_trs_Pcp2,tr2,Pickup plan trucks assignment
arrive_at_Silo7,Silo7,Silo for truck load
weigh_empty_trucktr39,tr39,Empty truck weighed
weigh_empty_trucktr17,tr17,Empty truck weighed
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
weigh_empty_trucktr46,tr46,Empty truck weighed
assign_trs_Pcp5,tr7,Pickup plan trucks assignment
check_abnormalitytr41,tr41,truck exmained for empty weight abnormality
fail_weightr47,tr47,Truck failed to be weighed
load_trucktr5,tr5,cargo load for truck
load_trucktr50,tr50,cargo load for truck
assign_trs_Pcp2,tr3,Pickup plan trucks assignment
load_trucktr33,tr33,cargo load for truck
weigh_empty_trucktr43,tr43,Empty truck weighed
check_abnormalitytr39,tr39,truck exmained for empty weight abnormality
trs_entrytr13,tr13,Entry evaluation for truck
load_trucktr12,tr12,cargo load for truck
assign_trs_Pcp1,tr32,Pickup plan trucks assignment
check_abnormalitytr46,tr46,truck exmained for empty weight abnormality
check_abnormalitytr17,tr17,truck exmained for empty weight abnormality
arrive_at_Silo5,Silo5,Silo for truck load
check_abnormalitytr43,tr43,truck exmained for empty weight abnormality
weigh_empty_trucktr13,tr13,Empty truck weighed
assign_trs_Pcp3,tr15,Pickup plan trucks assignment
arrive_at_Silo7,Silo7,Silo for truck load
assign_trs_Pcp3,tr47,Pickup plan trucks assignment
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
trs_entrytr22,tr22,Entry evaluation for truck
check_abnormalitytr13,tr13,truck exmained for empty weight abnormality
load_trucktr19,tr19,cargo load for truck
weigh_empty_trucktr22,tr22,Empty truck weighed
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
check_abnormalitytr22,tr22,truck exmained for empty weight abnormality
trs_entrytr11,tr11,Entry evaluation for truck
load_trucktr29,tr29,cargo load for truck
weigh_loaded_trucktr35,tr35,Truck weighed
fail_weightr43,tr43,Truck failed to be weighed
arrive_at_Silo7,Silo7,Silo for truck load
arrive_at_Silo5,Silo5,Silo for truck load
fail_weightr46,tr46,Truck failed to be weighed
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
load_trucktr41,tr41,cargo load for truck
weigh_empty_trucktr11,tr11,Empty truck weighed
arrive_at_Silo7,Silo7,Silo for truck load
arrive_at_Silo5,Silo5,Silo for truck load
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
trs_entrytr6,tr6,Entry evaluation for truck
load_trucktr17,tr17,cargo load for truck
load_trucktr39,tr39,cargo load for truck
assign_trs_Pcp6,tr46,Pickup plan trucks assignment
trs_entrytr18,tr18,Entry evaluation for truck
weigh_empty_trucktr6,tr6,Empty truck weighed
arrive_at_Silo5,Silo5,Silo for truck load
weigh_loaded_trucktr38,tr38,Truck weighed
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
check_abnormalitytr11,tr11,truck exmained for empty weight abnormality
print_w_tickettr35,tr35,Printed weighing ticket for pickup plan
input_tally_sheettr35,tr35,Tally Sheet for pickup plan
assign_trs_Pcp2,tr43,Pickup plan trucks assignment
load_trucktr13,tr13,cargo load for truck
determine_continuanceSilo5,Silo5,silo evaluated for pickup continuance
weigh_loaded_trucktr16,tr16,Truck weighed
print_w_tickettr38,tr38,Printed weighing ticket for pickup plan
input_tally_sheettr38,tr38,Tally Sheet for pickup plan
load_trucktr22,tr22,cargo load for truck
weigh_empty_trucktr18,tr18,Empty truck weighed
check_abnormalitytr6,tr6,truck exmained for empty weight abnormality
fail_weightr11,tr11,Truck failed to be weighed
trs_entrytr48,tr48,Entry evaluation for truck
weigh_loaded_trucktr21,tr21,Truck weighed
eval_trs_exittr35_Pcp6,tr35,Exit evaluation for truck
eval_trs_exittr38_Pcp9,tr38,Exit evaluation for truck
weigh_loaded_trucktr44,tr44,Truck weighed
weigh_empty_trucktr48,tr48,Empty truck weighed
check_abnormalitytr18,tr18,truck exmained for empty weight abnormality
print_w_tickettr44,tr44,Printed weighing ticket for pickup plan
input_tally_sheettr44,tr44,Tally Sheet for pickup plan
trs_entrytr20,tr20,Entry evaluation for truck
weigh_loaded_trucktr9,tr9,Truck weighed
weigh_empty_trucktr20,tr20,Empty truck weighed
weigh_loaded_trucktr25,tr25,Truck weighed
input_tally_sheettr21,tr21,Tally Sheet for pickup plan
print_w_tickettr21,tr21,Printed weighing ticket for pickup plan
check_abnormalitytr48,tr48,truck exmained for empty weight abnormality
fail_weightr18,tr18,Truck failed to be weighed
trs_entrytr14,tr14,Entry evaluation for truck
trs_entrytr1,tr1,Entry evaluation for truck
eval_trs_exittr44_Pcp9,tr44,Exit evaluation for truck
fail_weightr6,tr6,Truck failed to be weighed
assign_trs_Pcp1,tr35,Pickup plan trucks assignment
print_w_tickettr9,tr9,Printed weighing ticket for pickup plan
input_tally_sheettr9,tr9,Tally Sheet for pickup plan
weigh_empty_trucktr14,tr14,Empty truck weighed
weigh_empty_trucktr1,tr1,Empty truck weighed
eval_trs_exittr9_Pcp9,tr9,Exit evaluation for truck
weigh_loaded_trucktr10,tr10,Truck weighed
trs_entrytr30,tr30,Entry evaluation for truck
trs_entrytr37,tr37,Entry evaluation for truck
check_abnormalitytr20,tr20,truck exmained for empty weight abnormality
weigh_loaded_trucktr4,tr4,Truck weighed
assign_trs_Pcp2,tr11,Pickup plan trucks assignment
eval_trs_exittr21_Pcp6,tr21,Exit evaluation for truck
weigh_loaded_trucktr8,tr8,Truck weighed
weigh_loaded_trucktr27,tr27,Truck weighed
trs_entrytr15,tr15,Entry evaluation for truck
assign_trs_Pcp10,tr38,Pickup plan trucks assignment
assign_trs_Pcp2,tr18,Pickup plan trucks assignment
input_tally_sheettr27,tr27,Tally Sheet for pickup plan
print_w_tickettr27,tr27,Printed weighing ticket for pickup plan
print_w_tickettr8,tr8,Printed weighing ticket for pickup plan
input_tally_sheettr8,tr8,Tally Sheet for pickup plan
trs_entrytr34,tr34,Entry evaluation for truck
weigh_empty_trucktr15,tr15,Empty truck weighed
assign_trs_Pcp8,tr44,Pickup plan trucks assignment
weigh_loaded_trucktr12,tr12,Truck weighed
weigh_empty_trucktr34,tr34,Empty truck weighed
arrive_at_Silo6,Silo6,Silo for truck load
trs_entrytr42,tr42,Entry evaluation for truck
determine_continuanceSilo6,Silo6,silo evaluated for pickup continuance
trs_entrytr32,tr32,Entry evaluation for truck
check_abnormalitytr34,tr34,truck exmained for empty weight abnormality
weigh_loaded_trucktr45,tr45,Truck weighed
check_abnormalitytr14,tr14,truck exmained for empty weight abnormality
eval_trs_exittr27_Pcp6,tr27,Exit evaluation for truck
load_trucktr48,tr48,cargo load for truck
print_w_tickettr25,tr25,Printed weighing ticket for pickup plan
input_tally_sheettr25,tr25,Tally Sheet for pickup plan
weigh_empty_trucktr37,tr37,Empty truck weighed
weigh_empty_trucktr30,tr30,Empty truck weighed
trs_entrytr23,tr23,Entry evaluation for truck
check_abnormalitytr1,tr1,truck exmained for empty weight abnormality
input_tally_sheettr4,tr4,Tally Sheet for pickup plan
print_w_tickettr4,tr4,Printed weighing ticket for pickup plan
weigh_empty_trucktr23,tr23,Empty truck weighed
print_w_tickettr10,tr10,Printed weighing ticket for pickup plan
input_tally_sheettr10,tr10,Tally Sheet for pickup plan
eval_trs_exittr25_Pcp9,tr25,Exit evaluation for truck
eval_trs_exittr4_Pcp9,tr4,Exit evaluation for truck
check_abnormalitytr30,tr30,truck exmained for empty weight abnormality
weigh_loaded_trucktr40,tr40,Truck weighed
eval_trs_exittr8_Pcp9,tr8,Exit evaluation for truck
check_abnormalitytr37,tr37,truck exmained for empty weight abnormality
arrive_at_Silo11,Silo11,Silo for truck load
trs_entrytr2,tr2,Entry evaluation for truck
weigh_empty_trucktr32,tr32,Empty truck weighed
determine_continuanceSilo11,Silo11,silo evaluated for pickup continuance
eval_trs_exittr10_Pcp6,tr10,Exit evaluation for truck
trs_entrytr46,tr46,Entry evaluation for truck
input_tally_sheettr12,tr12,Tally Sheet for pickup plan
print_w_tickettr12,tr12,Printed weighing ticket for pickup plan
fail_weightr34,tr34,Truck failed to be weighed
trs_entrytr7,tr7,Entry evaluation for truck
print_w_tickettr40,tr40,Printed weighing ticket for pickup plan
input_tally_sheettr40,tr40,Tally Sheet for pickup plan
check_abnormalitytr15,tr15,truck exmained for empty weight abnormality
weigh_empty_trucktr46,tr46,Empty truck weighed
eval_trs_exittr12_Pcp6,tr12,Exit evaluation for truck
weigh_empty_trucktr42,tr42,Empty truck weighed
fail_weightr1,tr1,Truck failed to be weighed
trs_entrytr3,tr3,Entry evaluation for truck
check_abnormalitytr42,tr42,truck exmained for empty weight abnormality
check_abnormalitytr23,tr23,truck exmained for empty weight abnormality
check_abnormalitytr46,tr46,truck exmained for empty weight abnormality
weigh_empty_trucktr7,tr7,Empty truck weighed
weigh_empty_trucktr3,tr3,Empty truck weighed
eval_trs_exittr40_Pcp9,tr40,Exit evaluation for truck
arrive_at_Silo17,Silo17,Silo for truck load
weigh_loaded_trucktr26,tr26,Truck weighed
fail_weightr30,tr30,Truck failed to be weighed
check_abnormalitytr7,tr7,truck exmained for empty weight abnormality
check_abnormalitytr3,tr3,truck exmained for empty weight abnormality
determine_continuanceSilo17,Silo17,silo evaluated for pickup continuance
weigh_empty_trucktr2,tr2,Empty truck weighed
load_trucktr20,tr20,cargo load for truck
check_abnormalitytr32,tr32,truck exmained for empty weight abnormality
arrive_at_Silo19,Silo19,Silo for truck load
check_abnormalitytr2,tr2,truck exmained for empty weight abnormality
assign_trs_Pcp8,tr6,Pickup plan trucks assignment
weigh_loaded_trucktr33,tr33,Truck weighed
assign_trs_Pcp3,tr34,Pickup plan trucks assignment
assign_trs_Pcp3,tr25,Pickup plan trucks assignment
determine_continuanceSilo19,Silo19,silo evaluated for pickup continuance
load_trucktr37,tr37,cargo load for truck
assign_trs_Pcp2,tr8,Pickup plan trucks assignment
print_w_tickettr33,tr33,Printed weighing ticket for pickup plan
input_tally_sheettr33,tr33,Tally Sheet for pickup plan
fail_weightr42,tr42,Truck failed to be weighed
arrive_at_Silo18,Silo18,Silo for truck load
eval_trs_exittr33_Pcp9,tr33,Exit evaluation for truck
arrive_at_Silo7,Silo7,Silo for truck load
load_trucktr14,tr14,cargo load for truck
assign_trs_Pcp10,tr21,Pickup plan trucks assignment
weigh_loaded_trucktr31,tr31,Truck weighed
input_tally_sheettr45,tr45,Tally Sheet for pickup plan
print_w_tickettr45,tr45,Printed weighing ticket for pickup plan
assign_trs_Pcp2,tr10,Pickup plan trucks assignment
assign_trs_Pcp6,tr12,Pickup plan trucks assignment
arrive_at_Silo10,Silo10,Silo for truck load
assign_trs_Pcp4,tr1,Pickup plan trucks assignment
trs_entrytr43,tr43,Entry evaluation for truck
weigh_loaded_trucktr17,tr17,Truck weighed
weigh_empty_trucktr43,tr43,Empty truck weighed
arrive_at_Silo8,Silo8,Silo for truck load
arrive_at_Silo6,Silo6,Silo for truck load
assign_trs_Pcp3,tr27,Pickup plan trucks assignment
eval_trs_exittr45_Pcp6,tr45,Exit evaluation for truck
input_tally_sheettr31,tr31,Tally Sheet for pickup plan
print_w_tickettr31,tr31,Printed weighing ticket for pickup plan
determine_continuanceSilo10,Silo10,silo evaluated for pickup continuance
trs_entrytr38,tr38,Entry evaluation for truck
print_w_tickettr26,tr26,Printed weighing ticket for pickup plan
input_tally_sheettr26,tr26,Tally Sheet for pickup plan
assign_trs_Pcp3,tr9,Pickup plan trucks assignment
determine_continuanceSilo7,Silo7,silo evaluated for pickup continuance
weigh_empty_trucktr38,tr38,Empty truck weighed
assign_trs_Pcp4,tr4,Pickup plan trucks assignment
determine_continuanceSilo18,Silo18,silo evaluated for pickup continuance
arrive_at_Silo6,Silo6,Silo for truck load
trs_entrytr47,tr47,Entry evaluation for truck
load_trucktr46,tr46,cargo load for truck
eval_trs_exittr26_Pcp9,tr26,Exit evaluation for truck
check_abnormalitytr38,tr38,truck exmained for empty weight abnormality
assign_trs_Pcp7,tr40,Pickup plan trucks assignment
check_abnormalitytr43,tr43,truck exmained for empty weight abnormality
