Object_id,Timestamp,Ocel_changed_field,RFID tag,PickupPlanID,CargoID,LPT,Axles,Scheduled Pickup Weight,Truck Status,Truck Weight,Is_normal
tr19,2024-05-01 10:34:47,Cargo ID,,,Cr14,,,,,,
tr21,2024-05-01 10:40:26,Truck Status,,,,,,,Occupied,,
tr21,2024-05-01 10:40:26,Pickup Plan ID,,Pcp6,,,,,,,
tr21,2024-05-01 10:40:26,Scheduled Pickup Weight,,,,,,9417.6,,,
tr21,2024-05-01 10:40:26,Cargo ID,,,Cr17,,,,,,
tr34,2024-05-01 10:47:14,Truck Status,,,,,,,Occupied,,
tr34,2024-05-01 10:47:14,Pickup Plan ID,,Pcp9,,,,,,,
tr34,2024-05-01 10:47:14,Scheduled Pickup Weight,,,,,,9241.6,,,
tr34,2024-05-01 10:47:14,Cargo ID,,,Cr14,,,,,,
tr47,2024-05-01 10:50:57,Truck Status,,,,,,,Occupied,,
tr47,2024-05-01 10:50:57,Pickup Plan ID,,Pcp6,,,,,,,
tr47,2024-05-01 10:50:57,Scheduled Pickup Weight,,,,,,9224.6,,,
tr47,2024-05-01 10:50:57,Cargo ID,,,Cr17,,,,,,
tr16,2024-05-01 10:51:40,Truck Status,,,,,,,Occupied,,
tr16,2024-05-01 10:51:40,Pickup Plan ID,,Pcp6,,,,,,,
tr16,2024-05-01 10:51:40,Scheduled Pickup Weight,,,,,,9247.2,,,
tr16,2024-05-01 10:51:40,Cargo ID,,,Cr17,,,,,,
tr17,2024-05-01 10:54:36,Truck Status,,,,,,,Occupied,,
tr17,2024-05-01 10:54:36,Pickup Plan ID,,Pcp9,,,,,,,
tr17,2024-05-01 10:54:36,Scheduled Pickup Weight,,,,,,9455.6,,,
tr17,2024-05-01 10:54:36,Cargo ID,,,Cr14,,,,,,
tr35,2024-05-01 10:54:47,Truck Status,,,,,,,Occupied,,
tr35,2024-05-01 10:54:47,Pickup Plan ID,,Pcp6,,,,,,,
tr35,2024-05-01 10:54:47,Scheduled Pickup Weight,,,,,,9348.9,,,
tr35,2024-05-01 10:54:47,Cargo ID,,,Cr17,,,,,,
tr29,2024-05-01 10:57:04,Truck Status,,,,,,,Occupied,,
tr29,2024-05-01 10:57:04,Pickup Plan ID,,Pcp9,,,,,,,
tr29,2024-05-01 10:57:04,Scheduled Pickup Weight,,,,,,9340.9,,,
tr29,2024-05-01 10:57:04,Cargo ID,,,Cr14,,,,,,
tr45,2024-05-01 11:01:34,Truck Status,,,,,,,Occupied,,
tr45,2024-05-01 11:01:34,Pickup Plan ID,,Pcp6,,,,,,,
tr45,2024-05-01 11:01:34,Scheduled Pickup Weight,,,,,,9247.5,,,
tr45,2024-05-01 11:01:34,Cargo ID,,,Cr17,,,,,,
tr20,2024-05-01 11:02:05,Truck Status,,,,,,,Occupied,,
tr20,2024-05-01 11:02:05,Pickup Plan ID,,Pcp6,,,,,,,
tr20,2024-05-01 11:02:05,Scheduled Pickup Weight,,,,,,9336.2,,,
tr20,2024-05-01 11:02:05,Cargo ID,,,Cr17,,,,,,
tr44,2024-05-01 11:02:48,Truck Status,,,,,,,Occupied,,
tr44,2024-05-01 11:02:48,Pickup Plan ID,,Pcp9,,,,,,,
tr44,2024-05-01 11:02:48,Scheduled Pickup Weight,,,,,,9220.7,,,
tr44,2024-05-01 11:02:48,Cargo ID,,,Cr14,,,,,,
tr48,2024-05-01 11:03:00,Truck Status,,,,,,,Occupied,,
tr48,2024-05-01 11:03:00,Pickup Plan ID,,Pcp6,,,,,,,
tr48,2024-05-01 11:03:00,Scheduled Pickup Weight,,,,,,9377.6,,,
tr48,2024-05-01 11:03:00,Cargo ID,,,Cr17,,,,,,
tr38,2024-05-01 11:03:12,Truck Status,,,,,,,Occupied,,
tr38,2024-05-01 11:03:12,Pickup Plan ID,,Pcp9,,,,,,,
tr38,2024-05-01 11:03:12,Scheduled Pickup Weight,,,,,,9394.3,,,
tr38,2024-05-01 11:03:12,Cargo ID,,,Cr14,,,,,,
tr10,2024-05-01 11:08:08,Truck Status,,,,,,,Occupied,,
tr10,2024-05-01 11:08:08,Pickup Plan ID,,Pcp6,,,,,,,
tr10,2024-05-01 11:08:08,Scheduled Pickup Weight,,,,,,9217.1,,,
tr10,2024-05-01 11:08:08,Cargo ID,,,Cr17,,,,,,
tr26,2024-05-01 11:09:26,Truck Status,,,,,,,Occupied,,
tr26,2024-05-01 11:09:26,Pickup Plan ID,,Pcp9,,,,,,,
tr26,2024-05-01 11:09:26,Scheduled Pickup Weight,,,,,,9402.5,,,
tr26,2024-05-01 11:09:26,Cargo ID,,,Cr14,,,,,,
tr9,2024-05-01 11:13:53,Truck Status,,,,,,,Occupied,,
tr9,2024-05-01 11:13:53,Pickup Plan ID,,Pcp9,,,,,,,
tr9,2024-05-01 11:13:53,Scheduled Pickup Weight,,,,,,9242.8,,,
tr9,2024-05-01 11:13:53,Cargo ID,,,Cr14,,,,,,
tr39,2024-05-01 11:15:37,Truck Status,,,,,,,Occupied,,
tr39,2024-05-01 11:15:37,Pickup Plan ID,,Pcp6,,,,,,,
tr39,2024-05-01 11:15:37,Scheduled Pickup Weight,,,,,,9431.2,,,
tr39,2024-05-01 11:15:37,Cargo ID,,,Cr17,,,,,,
tr25,2024-05-01 11:15:42,Truck Status,,,,,,,Occupied,,
tr25,2024-05-01 11:15:42,Pickup Plan ID,,Pcp9,,,,,,,
tr25,2024-05-01 11:15:42,Scheduled Pickup Weight,,,,,,9337.3,,,
tr25,2024-05-01 11:15:42,Cargo ID,,,Cr14,,,,,,
tr4,2024-05-01 11:16:22,Truck Status,,,,,,,Occupied,,
tr4,2024-05-01 11:16:22,Pickup Plan ID,,Pcp9,,,,,,,
tr4,2024-05-01 11:16:22,Scheduled Pickup Weight,,,,,,9425.3,,,
tr4,2024-05-01 11:16:22,Cargo ID,,,Cr14,,,,,,
tr36,2024-05-01 11:16:50,Truck Status,,,,,,,Occupied,,
tr36,2024-05-01 11:16:50,Pickup Plan ID,,Pcp9,,,,,,,
tr36,2024-05-01 11:16:50,Scheduled Pickup Weight,,,,,,9421.8,,,
tr36,2024-05-01 11:16:50,Cargo ID,,,Cr14,,,,,,
tr40,2024-05-01 11:16:56,Truck Status,,,,,,,Occupied,,
tr40,2024-05-01 11:16:56,Pickup Plan ID,,Pcp9,,,,,,,
tr40,2024-05-01 11:16:56,Scheduled Pickup Weight,,,,,,9426.7,,,
tr40,2024-05-01 11:16:56,Cargo ID,,,Cr14,,,,,,
tr50,2024-05-01 11:17:15,Truck Status,,,,,,,Occupied,,
tr50,2024-05-01 11:17:15,Pickup Plan ID,,Pcp6,,,,,,,
tr50,2024-05-01 11:17:15,Scheduled Pickup Weight,,,,,,9387.6,,,
tr50,2024-05-01 11:17:15,Cargo ID,,,Cr17,,,,,,
tr11,2024-05-01 11:19:29,Truck Status,,,,,,,Occupied,,
tr11,2024-05-01 11:19:29,Pickup Plan ID,,Pcp6,,,,,,,
tr11,2024-05-01 11:19:29,Scheduled Pickup Weight,,,,,,9366.3,,,
tr11,2024-05-01 11:19:29,Cargo ID,,,Cr17,,,,,,
tr41,2024-05-01 11:19:56,Truck Status,,,,,,,Occupied,,
tr41,2024-05-01 11:19:56,Pickup Plan ID,,Pcp9,,,,,,,
tr41,2024-05-01 11:19:56,Scheduled Pickup Weight,,,,,,9309.8,,,
tr41,2024-05-01 11:19:56,Cargo ID,,,Cr14,,,,,,
tr8,2024-05-01 11:21:19,Truck Status,,,,,,,Occupied,,
tr8,2024-05-01 11:21:19,Pickup Plan ID,,Pcp9,,,,,,,
tr8,2024-05-01 11:21:19,Scheduled Pickup Weight,,,,,,9412.7,,,
tr8,2024-05-01 11:21:19,Cargo ID,,,Cr14,,,,,,
tr12,2024-05-01 11:23:42,Truck Status,,,,,,,Occupied,,
tr12,2024-05-01 11:23:42,Pickup Plan ID,,Pcp6,,,,,,,
tr12,2024-05-01 11:23:42,Scheduled Pickup Weight,,,,,,9409.5,,,
tr12,2024-05-01 11:23:42,Cargo ID,,,Cr17,,,,,,
tr27,2024-05-01 11:23:55,Truck Status,,,,,,,Occupied,,
tr27,2024-05-01 11:23:55,Pickup Plan ID,,Pcp6,,,,,,,
tr27,2024-05-01 11:23:55,Scheduled Pickup Weight,,,,,,9372.5,,,
tr27,2024-05-01 11:23:55,Cargo ID,,,Cr17,,,,,,
tr3,2024-05-01 11:26:02,Truck Status,,,,,,,Occupied,,
tr3,2024-05-01 11:26:02,Pickup Plan ID,,Pcp9,,,,,,,
tr3,2024-05-01 11:26:02,Scheduled Pickup Weight,,,,,,9259.3,,,
tr3,2024-05-01 11:26:02,Cargo ID,,,Cr14,,,,,,
tr2,2024-05-01 11:31:09,Truck Status,,,,,,,Occupied,,
tr2,2024-05-01 11:31:09,Pickup Plan ID,,Pcp6,,,,,,,
tr2,2024-05-01 11:31:09,Scheduled Pickup Weight,,,,,,9192.3,,,
tr2,2024-05-01 11:31:09,Cargo ID,,,Cr17,,,,,,
tr23,2024-05-01 11:31:34,Truck Status,,,,,,,Occupied,,
tr23,2024-05-01 11:31:34,Pickup Plan ID,,Pcp6,,,,,,,
tr23,2024-05-01 11:31:34,Scheduled Pickup Weight,,,,,,9215.3,,,
tr23,2024-05-01 11:31:34,Cargo ID,,,Cr17,,,,,,
tr43,2024-05-01 11:41:25,Truck Status,,,,,,,Occupied,,
tr43,2024-05-01 11:41:25,Pickup Plan ID,,Pcp9,,,,,,,
tr43,2024-05-01 11:41:25,Scheduled Pickup Weight,,,,,,9243.6,,,
tr43,2024-05-01 11:41:25,Cargo ID,,,Cr14,,,,,,
tr14,2024-05-01 11:56:55,Truck Status,,,,,,,Occupied,,
tr14,2024-05-01 11:56:55,Pickup Plan ID,,Pcp9,,,,,,,
tr14,2024-05-01 11:56:55,Scheduled Pickup Weight,,,,,,9342.7,,,
tr14,2024-05-01 11:56:55,Cargo ID,,,Cr14,,,,,,
tr22,2024-05-01 11:57:48,Truck Status,,,,,,,Occupied,,
tr22,2024-05-01 11:57:48,Pickup Plan ID,,Pcp9,,,,,,,
tr22,2024-05-01 11:57:48,Scheduled Pickup Weight,,,,,,9278.0,,,
tr22,2024-05-01 11:57:48,Cargo ID,,,Cr14,,,,,,
tr42,2024-05-01 12:00:42,Truck Status,,,,,,,Occupied,,
tr42,2024-05-01 12:00:42,Pickup Plan ID,,Pcp6,,,,,,,
tr42,2024-05-01 12:00:42,Scheduled Pickup Weight,,,,,,9207.4,,,
tr42,2024-05-01 12:00:42,Cargo ID,,,Cr17,,,,,,
tr37,2024-05-01 12:11:55,Truck Status,,,,,,,Occupied,,
tr37,2024-05-01 12:11:55,Pickup Plan ID,,Pcp9,,,,,,,
tr37,2024-05-01 12:11:55,Scheduled Pickup Weight,,,,,,9293.5,,,
tr37,2024-05-01 12:11:55,Cargo ID,,,Cr14,,,,,,
tr28,2024-05-01 12:18:36,Truck Status,,,,,,,Occupied,,
tr28,2024-05-01 12:18:36,Pickup Plan ID,,Pcp9,,,,,,,
tr28,2024-05-01 12:18:36,Scheduled Pickup Weight,,,,,,9268.4,,,
tr28,2024-05-01 12:18:36,Cargo ID,,,Cr14,,,,,,
tr7,2024-05-01 12:19:34,Truck Status,,,,,,,Occupied,,
tr7,2024-05-01 12:19:34,Pickup Plan ID,,Pcp6,,,,,,,
tr7,2024-05-01 12:19:34,Scheduled Pickup Weight,,,,,,9262.7,,,
tr7,2024-05-01 12:19:34,Cargo ID,,,Cr17,,,,,,
tr24,2024-05-01 12:20:35,Truck Status,,,,,,,Occupied,,
tr24,2024-05-01 12:20:35,Pickup Plan ID,,Pcp9,,,,,,,
tr24,2024-05-01 12:20:35,Scheduled Pickup Weight,,,,,,9310.2,,,
tr24,2024-05-01 12:20:35,Cargo ID,,,Cr14,,,,,,
tr31,2024-05-01 12:26:37,Truck Status,,,,,,,Occupied,,
tr31,2024-05-01 12:26:37,Pickup Plan ID,,Pcp9,,,,,,,
tr31,2024-05-01 12:26:37,Scheduled Pickup Weight,,,,,,9429.5,,,
tr31,2024-05-01 12:26:37,Cargo ID,,,Cr14,,,,,,
tr32,2024-05-01 12:28:44,Truck Status,,,,,,,Occupied,,
tr32,2024-05-01 12:28:44,Pickup Plan ID,,Pcp6,,,,,,,
tr32,2024-05-01 12:28:44,Scheduled Pickup Weight,,,,,,9381.7,,,
tr32,2024-05-01 12:28:44,Cargo ID,,,Cr17,,,,,,
tr15,2024-05-01 12:38:25,Truck Status,,,,,,,Occupied,,
tr15,2024-05-01 12:38:25,Pickup Plan ID,,Pcp9,,,,,,,
tr15,2024-05-01 12:38:25,Scheduled Pickup Weight,,,,,,9325.8,,,
tr15,2024-05-01 12:38:25,Cargo ID,,,Cr14,,,,,,
tr46,2024-05-01 14:04:56,Truck Status,,,,,,,Occupied,,
tr46,2024-05-01 14:04:56,Pickup Plan ID,,Pcp9,,,,,,,
tr46,2024-05-01 14:04:56,Scheduled Pickup Weight,,,,,,9440.8,,,
tr46,2024-05-01 14:04:56,Cargo ID,,,Cr14,,,,,,
tr13,2024-05-01 14:13:40,Truck Status,,,,,,,Occupied,,
tr13,2024-05-01 14:13:40,Pickup Plan ID,,Pcp6,,,,,,,
tr13,2024-05-01 14:13:40,Scheduled Pickup Weight,,,,,,9243.5,,,
tr13,2024-05-01 14:13:40,Cargo ID,,,Cr17,,,,,,
tr49,2024-05-01 14:54:15,Truck Status,,,,,,,Occupied,,
tr49,2024-05-01 14:54:15,Pickup Plan ID,,Pcp6,,,,,,,
tr49,2024-05-01 14:54:15,Scheduled Pickup Weight,,,,,,9372.4,,,
tr49,2024-05-01 14:54:15,Cargo ID,,,Cr17,,,,,,
tr5,2024-05-01 15:45:47,Truck Status,,,,,,,Occupied,,
tr5,2024-05-01 15:45:47,Pickup Plan ID,,Pcp6,,,,,,,
tr5,2024-05-01 15:45:47,Scheduled Pickup Weight,,,,,,9249.2,,,
tr5,2024-05-01 15:45:47,Cargo ID,,,Cr17,,,,,,
tr30,2024-05-01 15:54:29,Truck Weight,,,,,,,,15577.6,
tr19,2024-05-01 16:23:31,Truck Weight,,,,,,,,15146.6,
tr34,2024-05-01 16:57:54,Truck Weight,,,,,,,,14416.7,
tr45,2024-05-01 16:58:07,Truck Weight,,,,,,,,13644.7,
tr40,2024-05-01 17:28:48,Truck Weight,,,,,,,,13600.6,
tr21,2024-05-01 17:43:38,Truck Weight,,,,,,,,12677.3,
tr4,2024-05-01 17:55:13,Truck Weight,,,,,,,,12302.2,
tr35,2024-05-01 18:08:17,Truck Weight,,,,,,,,13487.8,
tr1,2024-05-02 07:33:05,Truck Weight,,,,,,,,16179.5,
tr16,2024-05-02 07:58:12,Truck Weight,,,,,,,,11290.8,
tr26,2024-05-02 08:02:45,Truck Weight,,,,,,,,11198.1,
tr6,2024-05-02 08:29:57,Truck Weight,,,,,,,,14659.1,
tr30,2024-05-02 09:03:26,Is_normal,,,,,,,,,abnormal
tr30,2024-05-02 09:03:26,Truck Status,,,,,,,Available,,
tr8,2024-05-02 09:04:52,Truck Weight,,,,,,,,12133.9,
tr19,2024-05-02 09:15:39,Is_normal,,,,,,,,,abnormal
tr19,2024-05-02 09:15:39,Truck Status,,,,,,,Available,,
tr37,2024-05-02 09:33:06,Truck Weight,,,,,,,,15487.9,
tr38,2024-05-02 09:38:46,Truck Weight,,,,,,,,11413.8,
tr30,2024-05-02 09:50:40,Truck Status,,,,,,,Occupied,,
tr30,2024-05-02 09:50:40,Pickup Plan ID,,Pcp8,,,,,,,
tr30,2024-05-02 09:50:40,Scheduled Pickup Weight,,,,,,9368.7,,,
tr30,2024-05-02 09:50:40,Cargo ID,,,Cr4,,,,,,
tr40,2024-05-02 09:51:58,Is_normal,,,,,,,,,normal
tr45,2024-05-02 10:03:21,Is_normal,,,,,,,,,normal
tr1,2024-05-02 10:09:09,Is_normal,,,,,,,,,abnormal
tr1,2024-05-02 10:09:09,Truck Status,,,,,,,Available,,
tr34,2024-05-02 10:19:35,Is_normal,,,,,,,,,abnormal
tr34,2024-05-02 10:19:35,Truck Status,,,,,,,Available,,
tr26,2024-05-02 10:34:35,Is_normal,,,,,,,,,normal
tr25,2024-05-02 10:36:59,Truck Weight,,,,,,,,11042.5,
tr27,2024-05-02 10:42:19,Truck Weight,,,,,,,,14979.0,
tr37,2024-05-02 10:43:59,Is_normal,,,,,,,,,abnormal
tr37,2024-05-02 10:43:59,Truck Status,,,,,,,Available,,
tr6,2024-05-02 10:48:38,Is_normal,,,,,,,,,abnormal
tr6,2024-05-02 10:48:38,Truck Status,,,,,,,Available,,
tr10,2024-05-02 10:52:02,Truck Weight,,,,,,,,12328.2,
tr31,2024-05-02 10:53:13,Truck Weight,,,,,,,,13540.9,
tr4,2024-05-02 10:58:10,Is_normal,,,,,,,,,normal
tr35,2024-05-02 11:05:31,Is_normal,,,,,,,,,normal
tr8,2024-05-02 11:11:17,Is_normal,,,,,,,,,normal
tr48,2024-05-02 11:17:52,Truck Weight,,,,,,,,15432.4,
tr21,2024-05-02 11:30:36,Is_normal,,,,,,,,,normal
tr28,2024-05-02 11:31:25,Truck Weight,,,,,,,,13681.8,
tr20,2024-05-02 11:31:55,Truck Weight,,,,,,,,15143.2,
tr16,2024-05-02 11:32:52,Is_normal,,,,,,,,,normal
tr19,2024-05-02 11:42:05,Truck Status,,,,,,,Occupied,,
tr19,2024-05-02 11:42:05,Pickup Plan ID,,Pcp6,,,,,,,
tr19,2024-05-02 11:42:05,Scheduled Pickup Weight,,,,,,9355.3,,,
tr19,2024-05-02 11:42:05,Cargo ID,,,Cr17,,,,,,
tr36,2024-05-02 11:45:32,Truck Weight,,,,,,,,11814.9,
tr42,2024-05-02 13:15:08,Truck Weight,,,,,,,,15559.9,
tr14,2024-05-02 13:28:57,Truck Weight,,,,,,,,15544.7,
tr44,2024-05-02 13:31:09,Truck Weight,,,,,,,,13453.0,
tr1,2024-05-02 13:32:46,Truck Status,,,,,,,Occupied,,
tr1,2024-05-02 13:32:46,Pickup Plan ID,,Pcp8,,,,,,,
tr1,2024-05-02 13:32:46,Scheduled Pickup Weight,,,,,,9368.3,,,
tr1,2024-05-02 13:32:46,Cargo ID,,,Cr4,,,,,,
tr42,2024-05-02 13:44:17,Is_normal,,,,,,,,,abnormal
tr42,2024-05-02 13:44:17,Truck Status,,,,,,,Available,,
tr18,2024-05-02 13:49:18,Truck Weight,,,,,,,,14335.2,
tr48,2024-05-02 13:55:52,Is_normal,,,,,,,,,abnormal
tr48,2024-05-02 13:55:52,Truck Status,,,,,,,Available,,
tr27,2024-05-02 14:11:43,Is_normal,,,,,,,,,normal
tr9,2024-05-02 14:15:31,Truck Weight,,,,,,,,11309.1,
tr38,2024-05-02 14:16:24,Is_normal,,,,,,,,,normal
tr31,2024-05-02 14:19:05,Is_normal,,,,,,,,,normal
tr25,2024-05-02 14:37:59,Is_normal,,,,,,,,,normal
tr10,2024-05-02 14:42:33,Is_normal,,,,,,,,,normal
tr28,2024-05-02 14:50:25,Is_normal,,,,,,,,,normal
tr20,2024-05-02 14:54:32,Is_normal,,,,,,,,,abnormal
tr20,2024-05-02 14:54:32,Truck Status,,,,,,,Available,,
tr49,2024-05-02 15:02:03,Truck Weight,,,,,,,,12436.3,
tr6,2024-05-02 15:12:06,Truck Status,,,,,,,Occupied,,
tr6,2024-05-02 15:12:06,Pickup Plan ID,,Pcp2,,,,,,,
tr6,2024-05-02 15:12:06,Scheduled Pickup Weight,,,,,,9529.8,,,
tr6,2024-05-02 15:12:06,Cargo ID,,,Cr11,,,,,,
tr23,2024-05-02 15:17:55,Truck Weight,,,,,,,,14523.0,
tr36,2024-05-02 15:19:28,Is_normal,,,,,,,,,normal
tr42,2024-05-02 15:40:15,Truck Status,,,,,,,Occupied,,
tr42,2024-05-02 15:40:15,Pickup Plan ID,,Pcp2,,,,,,,
tr42,2024-05-02 15:40:15,Scheduled Pickup Weight,,,,,,9503.3,,,
tr42,2024-05-02 15:40:15,Cargo ID,,,Cr11,,,,,,
tr5,2024-05-02 15:48:00,Truck Weight,,,,,,,,11762.2,
tr18,2024-05-02 15:50:01,Is_normal,,,,,,,,,abnormal
tr18,2024-05-02 15:50:01,Truck Status,,,,,,,Available,,
tr34,2024-05-02 15:50:07,Truck Status,,,,,,,Occupied,,
tr34,2024-05-02 15:50:07,Pickup Plan ID,,Pcp5,,,,,,,
tr34,2024-05-02 15:50:07,Scheduled Pickup Weight,,,,,,9465.9,,,
tr34,2024-05-02 15:50:07,Cargo ID,,,Cr9,,,,,,
tr32,2024-05-02 15:53:16,Truck Weight,,,,,,,,15493.1,
tr14,2024-05-02 15:53:47,Is_normal,,,,,,,,,abnormal
tr14,2024-05-02 15:53:47,Truck Status,,,,,,,Available,,
tr33,2024-05-02 15:58:08,Truck Weight,,,,,,,,12741.1,
tr50,2024-05-02 16:10:18,Truck Weight,,,,,,,,13446.0,
tr48,2024-05-02 16:13:55,Truck Status,,,,,,,Occupied,,
