ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-02 11:48:42
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-02 11:48:42
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-02 11:48:42
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-02 11:48:42
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-02 12:37:00
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-02 12:37:00
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-02 12:37:00
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-02 12:37:00
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-02 12:37:00
WS12;tr42;Weight sensor measuring empty truck weight;2024-05-02 13:19:51
WS06;tr44;Weight sensor measuring empty truck weight;2024-05-02 13:24:55
WS08;tr14;Weight sensor measuring empty truck weight;2024-05-02 13:26:43
WS11;tr9;Weight sensor measuring empty truck weight;2024-05-02 14:14:31
WS13;tr18;Weight sensor measuring empty truck weight;2024-05-02 14:40:57
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-02 14:53:09
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-02 14:53:09
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-02 14:53:09
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-02 14:53:09
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-02 14:53:09
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-02 14:54:24
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-02 14:54:24
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-02 14:54:24
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-02 14:54:24
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-02 14:54:24
WS07;tr23;Weight sensor measuring empty truck weight;2024-05-02 15:23:22
WS14;tr49;Weight sensor measuring empty truck weight;2024-05-02 15:24:58
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-02 15:46:22
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-02 15:46:22
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-02 15:46:22
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-02 15:46:22
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-02 15:46:22
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-02 15:46:32
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-02 15:46:32
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-02 15:46:32
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-02 15:46:32
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-02 15:46:32
WS08;tr32;Weight sensor measuring empty truck weight;2024-05-02 15:46:53
WS03;tr33;Weight sensor measuring empty truck weight;2024-05-02 15:49:08
WS09;tr5;Weight sensor measuring empty truck weight;2024-05-02 15:51:35
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-02 15:54:55
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-02 15:54:55
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-02 15:54:55
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-02 15:54:55
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-02 15:54:55
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-02 16:09:23
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-02 16:09:23
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-02 16:09:23
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-02 16:09:23
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-02 16:09:23
WS15;tr15;Weight sensor measuring empty truck weight;2024-05-02 16:30:46
WS14;tr50;Weight sensor measuring empty truck weight;2024-05-02 16:35:43
WS19;tr7;Weight sensor measuring empty truck weight;2024-05-02 17:07:24
WS16;tr2;Weight sensor measuring empty truck weight;2024-05-02 17:15:28
WS07;tr24;Weight sensor measuring empty truck weight;2024-05-02 17:30:32
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-02 17:31:04
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-02 17:31:04
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-02 17:31:04
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-02 17:31:04
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-02 17:31:04
WS08;tr3;Weight sensor measuring empty truck weight;2024-05-02 19:42:50
WS15;tr12;Weight sensor measuring empty truck weight;2024-05-03 07:34:47
WS01;tr29;Weight sensor measuring empty truck weight;2024-05-03 08:02:23
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-03 08:55:42
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-03 08:55:42
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-03 08:55:42
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-03 08:55:42
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-03 08:55:42
WS11;tr41;Weight sensor measuring empty truck weight;2024-05-03 09:33:23
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-03 09:40:17
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-03 09:40:17
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-03 09:40:17
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-03 09:40:17
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-03 09:40:17
WS19;tr17;Weight sensor measuring empty truck weight;2024-05-03 09:51:51
WS02;tr47;Weight sensor measuring empty truck weight;2024-05-03 09:52:44
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-03 10:12:20
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-03 10:12:20
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-03 10:12:20
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-03 10:12:20
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-03 10:12:20
WS04;tr39;Weight sensor measuring empty truck weight;2024-05-03 10:28:18
WS08;tr45;Weight sensor measuring empty truck weight;2024-05-03 10:31:19
WS05;tr40;Weight sensor measuring empty truck weight;2024-05-03 10:33:55
WS03;tr46;Weight sensor measuring empty truck weight;2024-05-03 10:34:31
WS10;tr43;Weight sensor measuring empty truck weight;2024-05-03 10:44:43
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-03 11:08:58
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-03 11:08:58
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-03 11:08:58
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-03 11:08:58
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-03 11:08:58
WS16;tr21;Weight sensor measuring loaded truck weight;2024-05-03 11:14:08
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-03 11:47:13
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-03 11:47:13
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-03 11:47:13
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-03 11:47:13
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-03 11:47:13
WS14;tr1;Weight sensor measuring empty truck weight;2024-05-03 13:45:20
WS10;tr4;Weight sensor measuring loaded truck weight;2024-05-03 13:54:55
WS06;tr13;Weight sensor measuring empty truck weight;2024-05-03 13:55:10
WS11;tr35;Weight sensor measuring loaded truck weight;2024-05-03 13:56:10
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-03 14:19:41
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-03 14:19:41
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-03 14:19:41
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-03 14:19:41
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-03 14:19:41
WS02;tr22;Weight sensor measuring empty truck weight;2024-05-03 14:24:38
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-03 14:26:37
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-03 14:26:37
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-03 14:26:37
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-03 14:26:37
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-03 14:26:37
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-03 14:54:42
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-03 14:54:42
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-03 14:54:42
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-03 14:54:42
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-03 14:54:42
Temp14;Silo14;Temperature sensor measuring silo temperature;2024-05-03 15:43:26
Humd14;Silo14;Humidity sensor measuring silo humidity;2024-05-03 15:43:26
GrainTemp40;Silo14;1st Grain Termperature sensor located in the silo;2024-05-03 15:43:26
GrainTemp41;Silo14;2nd Grain Termperature sensor located in the silo;2024-05-03 15:43:26
GrainTemp42;Silo14;3rd Grain Termperature sensor located in the silo;2024-05-03 15:43:26
WS07;tr34;Weight sensor measuring empty truck weight;2024-05-03 15:43:52
WS04;tr11;Weight sensor measuring empty truck weight;2024-05-03 15:46:18
WS15;tr6;Weight sensor measuring empty truck weight;2024-05-03 15:58:47
WS08;tr5;Weight sensor measuring empty truck weight;2024-05-03 16:38:21
WS02;tr25;Weight sensor measuring empty truck weight;2024-05-03 16:38:48
WS03;tr8;Weight sensor measuring loaded truck weight;2024-05-03 17:14:15
Temp12;Silo12;Temperature sensor measuring silo temperature;2024-05-03 18:02:07
Humd12;Silo12;Humidity sensor measuring silo humidity;2024-05-03 18:02:07
GrainTemp34;Silo12;1st Grain Termperature sensor located in the silo;2024-05-03 18:02:07
GrainTemp35;Silo12;2nd Grain Termperature sensor located in the silo;2024-05-03 18:02:07
GrainTemp36;Silo12;3rd Grain Termperature sensor located in the silo;2024-05-03 18:02:07
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-03 18:06:15
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-03 18:06:15
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-03 18:06:15
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-03 18:06:15
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-03 18:06:15
WS20;tr20;Weight sensor measuring loaded truck weight;2024-05-06 07:28:39
WS06;tr36;Weight sensor measuring empty truck weight;2024-05-06 07:44:45
WS20;tr48;Weight sensor measuring empty truck weight;2024-05-06 07:45:21
WS11;tr10;Weight sensor measuring loaded truck weight;2024-05-06 07:57:19
WS16;tr27;Weight sensor measuring empty truck weight;2024-05-06 09:22:15
WS05;tr49;Weight sensor measuring empty truck weight;2024-05-06 09:27:23
WS07;tr19;Weight sensor measuring empty truck weight;2024-05-06 09:51:54
WS17;tr37;Weight sensor measuring empty truck weight;2024-05-06 09:59:37
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-06 10:05:37
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-06 10:05:37
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-06 10:05:37
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-06 10:05:37
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-06 10:05:37
Temp19;Silo19;Temperature sensor measuring silo temperature;2024-05-06 10:21:59
Humd19;Silo19;Humidity sensor measuring silo humidity;2024-05-06 10:21:59
GrainTemp55;Silo19;1st Grain Termperature sensor located in the silo;2024-05-06 10:21:59
GrainTemp56;Silo19;2nd Grain Termperature sensor located in the silo;2024-05-06 10:21:59
GrainTemp57;Silo19;3rd Grain Termperature sensor located in the silo;2024-05-06 10:21:59
WS02;tr24;Weight sensor measuring empty truck weight;2024-05-06 10:26:23
WS13;tr14;Weight sensor measuring loaded truck weight;2024-05-06 10:28:27
Temp9;Silo9;Temperature sensor measuring silo temperature;2024-05-06 10:58:41
Humd9;Silo9;Humidity sensor measuring silo humidity;2024-05-06 10:58:41
GrainTemp25;Silo9;1st Grain Termperature sensor located in the silo;2024-05-06 10:58:41
GrainTemp26;Silo9;2nd Grain Termperature sensor located in the silo;2024-05-06 10:58:41
GrainTemp27;Silo9;3rd Grain Termperature sensor located in the silo;2024-05-06 10:58:41
WS15;tr28;Weight sensor measuring empty truck weight;2024-05-06 11:10:01
WS16;tr42;Weight sensor measuring loaded truck weight;2024-05-06 11:48:32
WS04;tr7;Weight sensor measuring empty truck weight;2024-05-06 11:55:44
WS05;tr30;Weight sensor measuring empty truck weight;2024-05-06 11:55:54
Temp3;Silo3;Temperature sensor measuring silo temperature;2024-05-06 11:59:07
Humd3;Silo3;Humidity sensor measuring silo humidity;2024-05-06 11:59:07
GrainTemp7;Silo3;1st Grain Termperature sensor located in the silo;2024-05-06 11:59:07
GrainTemp8;Silo3;2nd Grain Termperature sensor located in the silo;2024-05-06 11:59:07
GrainTemp9;Silo3;3rd Grain Termperature sensor located in the silo;2024-05-06 11:59:07
Temp3;Silo3;Temperature sensor measuring silo temperature;2024-05-06 11:59:40
Humd3;Silo3;Humidity sensor measuring silo humidity;2024-05-06 11:59:40
GrainTemp7;Silo3;1st Grain Termperature sensor located in the silo;2024-05-06 11:59:40
GrainTemp8;Silo3;2nd Grain Termperature sensor located in the silo;2024-05-06 11:59:40
GrainTemp9;Silo3;3rd Grain Termperature sensor located in the silo;2024-05-06 11:59:40
WS16;tr38;Weight sensor measuring loaded truck weight;2024-05-06 12:20:17
WS12;tr31;Weight sensor measuring loaded truck weight;2024-05-06 12:33:38
Temp9;Silo9;Temperature sensor measuring silo temperature;2024-05-06 13:48:07
Humd9;Silo9;Humidity sensor measuring silo humidity;2024-05-06 13:48:07
GrainTemp25;Silo9;1st Grain Termperature sensor located in the silo;2024-05-06 13:48:07
GrainTemp26;Silo9;2nd Grain Termperature sensor located in the silo;2024-05-06 13:48:07
GrainTemp27;Silo9;3rd Grain Termperature sensor located in the silo;2024-05-06 13:48:07
Temp11;Silo11;Temperature sensor measuring silo temperature;2024-05-06 13:48:40
Humd11;Silo11;Humidity sensor measuring silo humidity;2024-05-06 13:48:40
GrainTemp31;Silo11;1st Grain Termperature sensor located in the silo;2024-05-06 13:48:40
GrainTemp32;Silo11;2nd Grain Termperature sensor located in the silo;2024-05-06 13:48:40
GrainTemp33;Silo11;3rd Grain Termperature sensor located in the silo;2024-05-06 13:48:40
WS06;tr32;Weight sensor measuring empty truck weight;2024-05-06 14:11:23
WS20;tr23;Weight sensor measuring loaded truck weight;2024-05-06 14:23:36
WS02;tr9;Weight sensor measuring empty truck weight;2024-05-06 14:48:04
WS06;tr39;Weight sensor measuring empty truck weight;2024-05-06 15:01:16
WS03;tr40;Weight sensor measuring empty truck weight;2024-05-06 15:13:08
WS17;tr6;Weight sensor measuring empty truck weight;2024-05-06 15:33:32
WS11;tr17;Weight sensor measuring loaded truck weight;2024-05-06 15:37:40
WS10;tr12;Weight sensor measuring loaded truck weight;2024-05-06 15:49:34
WS14;tr16;Weight sensor measuring loaded truck weight;2024-05-06 15:52:26
Temp7;Silo7;Temperature sensor measuring silo temperature;2024-05-06 15:53:00
Humd7;Silo7;Humidity sensor measuring silo humidity;2024-05-06 15:53:00
GrainTemp19;Silo7;1st Grain Termperature sensor located in the silo;2024-05-06 15:53:00
GrainTemp20;Silo7;2nd Grain Termperature sensor located in the silo;2024-05-06 15:53:00
GrainTemp21;Silo7;3rd Grain Termperature sensor located in the silo;2024-05-06 15:53:00
WS07;tr13;Weight sensor measuring loaded truck weight;2024-05-06 16:16:05
WS05;tr26;Weight sensor measuring loaded truck weight;2024-05-06 17:45:00
WS08;tr4;Weight sensor measuring empty truck weight;2024-05-07 08:01:28
WS16;tr41;Weight sensor measuring loaded truck weight;2024-05-07 08:30:52
WS04;tr21;Weight sensor measuring empty truck weight;2024-05-07 09:32:14
WS02;tr46;Weight sensor measuring empty truck weight;2024-05-07 10:43:22
WS01;tr18;Weight sensor measuring empty truck weight;2024-05-07 10:56:24
WS06;tr15;Weight sensor measuring loaded truck weight;2024-05-07 11:20:23
WS05;tr14;Weight sensor measuring empty truck weight;2024-05-07 11:33:15
WS19;tr50;Weight sensor measuring empty truck weight;2024-05-07 11:34:10
Temp7;Silo7;Temperature sensor measuring silo temperature;2024-05-07 11:43:36
Humd7;Silo7;Humidity sensor measuring silo humidity;2024-05-07 11:43:36
GrainTemp19;Silo7;1st Grain Termperature sensor located in the silo;2024-05-07 11:43:36
GrainTemp20;Silo7;2nd Grain Termperature sensor located in the silo;2024-05-07 11:43:36
GrainTemp21;Silo7;3rd Grain Termperature sensor located in the silo;2024-05-07 11:43:36
WS17;tr2;Weight sensor measuring empty truck weight;2024-05-07 13:14:47
WS15;tr29;Weight sensor measuring empty truck weight;2024-05-07 13:47:49
WS12;tr5;Weight sensor measuring loaded truck weight;2024-05-07 14:13:46
WS12;tr22;Weight sensor measuring loaded truck weight;2024-05-07 14:17:58
WS09;tr49;Weight sensor measuring empty truck weight;2024-05-07 14:19:38
WS12;tr20;Weight sensor measuring empty truck weight;2024-05-07 14:37:46
WS11;tr36;Weight sensor measuring loaded truck weight;2024-05-07 14:50:47
Temp19;Silo19;Temperature sensor measuring silo temperature;2024-05-07 15:02:09
Humd19;Silo19;Humidity sensor measuring silo humidity;2024-05-07 15:02:09
GrainTemp55;Silo19;1st Grain Termperature sensor located in the silo;2024-05-07 15:02:09
GrainTemp56;Silo19;2nd Grain Termperature sensor located in the silo;2024-05-07 15:02:09
GrainTemp57;Silo19;3rd Grain Termperature sensor located in the silo;2024-05-07 15:02:09
WS20;tr47;Weight sensor measuring loaded truck weight;2024-05-07 15:06:45
WS09;tr10;Weight sensor measuring empty truck weight;2024-05-07 15:13:24
WS10;tr43;Weight sensor measuring empty truck weight;2024-05-07 15:35:46
WS18;tr42;Weight sensor measuring empty truck weight;2024-05-07 16:02:45
WS12;tr8;Weight sensor measuring empty truck weight;2024-05-07 16:13:01
Temp7;Silo7;Temperature sensor measuring silo temperature;2024-05-07 16:30:57
Humd7;Silo7;Humidity sensor measuring silo humidity;2024-05-07 16:30:57
GrainTemp19;Silo7;1st Grain Termperature sensor located in the silo;2024-05-07 16:30:57
GrainTemp20;Silo7;2nd Grain Termperature sensor located in the silo;2024-05-07 16:30:57
GrainTemp21;Silo7;3rd Grain Termperature sensor located in the silo;2024-05-07 16:30:57
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-07 16:39:30
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-07 16:39:30
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-07 16:39:30
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-07 16:39:30
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-07 16:39:30
WS20;tr1;Weight sensor measuring empty truck weight;2024-05-07 16:49:18
WS15;tr48;Weight sensor measuring loaded truck weight;2024-05-07 17:08:02
Temp9;Silo9;Temperature sensor measuring silo temperature;2024-05-07 19:18:48
Humd9;Silo9;Humidity sensor measuring silo humidity;2024-05-07 19:18:48
GrainTemp25;Silo9;1st Grain Termperature sensor located in the silo;2024-05-07 19:18:48
GrainTemp26;Silo9;2nd Grain Termperature sensor located in the silo;2024-05-07 19:18:48
GrainTemp27;Silo9;3rd Grain Termperature sensor located in the silo;2024-05-07 19:18:48
WS07;tr7;Weight sensor measuring empty truck weight;2024-05-08 07:12:40
WS17;tr44;Weight sensor measuring loaded truck weight;2024-05-08 08:16:35
Temp4;Silo4;Temperature sensor measuring silo temperature;2024-05-08 08:35:16
Humd4;Silo4;Humidity sensor measuring silo humidity;2024-05-08 08:35:16
GrainTemp10;Silo4;1st Grain Termperature sensor located in the silo;2024-05-08 08:35:16
GrainTemp11;Silo4;2nd Grain Termperature sensor located in the silo;2024-05-08 08:35:16
GrainTemp12;Silo4;3rd Grain Termperature sensor located in the silo;2024-05-08 08:35:16
WS20;tr38;Weight sensor measuring empty truck weight;2024-05-08 08:48:05
Temp4;Silo4;Temperature sensor measuring silo temperature;2024-05-08 08:52:19
Humd4;Silo4;Humidity sensor measuring silo humidity;2024-05-08 08:52:19
GrainTemp10;Silo4;1st Grain Termperature sensor located in the silo;2024-05-08 08:52:19
GrainTemp11;Silo4;2nd Grain Termperature sensor located in the silo;2024-05-08 08:52:19
GrainTemp12;Silo4;3rd Grain Termperature sensor located in the silo;2024-05-08 08:52:19
WS18;tr27;Weight sensor measuring empty truck weight;2024-05-08 09:18:10
WS10;tr32;Weight sensor measuring empty truck weight;2024-05-08 09:28:10
WS19;tr35;Weight sensor measuring empty truck weight;2024-05-08 09:30:32
WS05;tr33;Weight sensor measuring loaded truck weight;2024-05-08 09:30:40
Temp9;Silo9;Temperature sensor measuring silo temperature;2024-05-08 09:42:48
Humd9;Silo9;Humidity sensor measuring silo humidity;2024-05-08 09:42:48
GrainTemp25;Silo9;1st Grain Termperature sensor located in the silo;2024-05-08 09:42:48
GrainTemp26;Silo9;2nd Grain Termperature sensor located in the silo;2024-05-08 09:42:48
GrainTemp27;Silo9;3rd Grain Termperature sensor located in the silo;2024-05-08 09:42:48
WS14;tr12;Weight sensor measuring empty truck weight;2024-05-08 10:29:06
WS09;tr11;Weight sensor measuring loaded truck weight;2024-05-08 10:32:15
WS05;tr37;Weight sensor measuring empty truck weight;2024-05-08 10:46:54
WS17;tr23;Weight sensor measuring empty truck weight;2024-05-08 11:26:25
WS15;tr19;Weight sensor measuring loaded truck weight;2024-05-08 11:30:52
WS20;tr9;Weight sensor measuring empty truck weight;2024-05-08 11:47:08
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-08 11:48:15
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-08 11:48:15
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-08 11:48:15
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-08 11:48:15
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-08 11:48:15
Temp3;Silo3;Temperature sensor measuring silo temperature;2024-05-08 14:00:04
Humd3;Silo3;Humidity sensor measuring silo humidity;2024-05-08 14:00:04
GrainTemp7;Silo3;1st Grain Termperature sensor located in the silo;2024-05-08 14:00:04
GrainTemp8;Silo3;2nd Grain Termperature sensor located in the silo;2024-05-08 14:00:04
GrainTemp9;Silo3;3rd Grain Termperature sensor located in the silo;2024-05-08 14:00:04
WS04;tr25;Weight sensor measuring empty truck weight;2024-05-08 14:14:10
Temp11;Silo11;Temperature sensor measuring silo temperature;2024-05-08 14:43:55
Humd11;Silo11;Humidity sensor measuring silo humidity;2024-05-08 14:43:55
GrainTemp31;Silo11;1st Grain Termperature sensor located in the silo;2024-05-08 14:43:55
GrainTemp32;Silo11;2nd Grain Termperature sensor located in the silo;2024-05-08 14:43:55
GrainTemp33;Silo11;3rd Grain Termperature sensor located in the silo;2024-05-08 14:43:55
WS06;tr14;Weight sensor measuring loaded truck weight;2024-05-08 15:13:31
WS13;tr30;Weight sensor measuring empty truck weight;2024-05-08 15:31:11
WS12;tr46;Weight sensor measuring empty truck weight;2024-05-08 15:44:11
WS17;tr39;Weight sensor measuring empty truck weight;2024-05-08 15:51:40
WS19;tr40;Weight sensor measuring empty truck weight;2024-05-08 16:09:24
